0,1,2,label
2.0,1102469.0,24.69,00
2.1,2469.0,24.69,00
3.0,1102462.0,24.62,00
3.1,2462.0,24.62,00
3.2,2462.0,24.62,00
4.0,112459.0,24.59,00
4.1,2459.0,24.59,00
4.2,2459.0,24.59,00
5.0,2454.0,24.54,00
5.1,2454.0,24.54,00
5.2,2454.0,24.54,00
6.2,2451.0,24.51,00
8.0,2444.0,24.44,00
8.1,2444.0,24.44,00
9.0,2448.0,24.48,00
11.0,2449.0,24.49,00
11.1,2449.0,24.49,00
11.2,2449.0,24.49,00
12.0,2452.0,24.52,00
12.1,1102452.0,24.52,00
16.1,1102456.0,24.56,00
17.0,2459.0,24.59,00
17.1,1102459.0,24.59,00
18.0,2459.0,24.59,00
18.1,2499.0,24.99,00
18.2,2459.0,24.59,00
20.0,2459.0,24.59,00
20.1,2459.0,24.59,00
20.2,2459.0,24.59,00
30.1,1102479.0,24.79,00
34.0,112464.0,24.64,00
34.2,2464.0,24.64,00
35.0,4112464.0,24.64,00
35.1,2464.0,24.64,00
35.2,1102464.0,24.64,00
36.0,1102464.0,24.64,00
36.1,11112464.0,24.64,00
36.2,1102464.0,24.64,00
39.1,11112472.0,24.72,00
41.0,11112479.0,24.79,00
41.1,11112479.0,24.79,00
44.0,2474.0,24.74,00
45.0,2469.0,24.69,00
45.2,112469.0,24.69,00
46.1,2466.0,24.66,00
46.2,11112466.0,24.66,00
47.0,1102464.0,24.64,00
47.2,11112464.0,24.64,00
48.0,1102465.0,24.65,00
48.2,1102465.0,24.65,00
49.0,1102462.0,24.62,00
49.1,1102462.0,24.62,00
49.2,11112462.0,24.62,00
50.2,1102469.0,24.69,00
51.2,2468.0,24.68,00
54.0,11112472.0,24.72,00
56.0,11112468.0,24.68,00
57.0,2465.0,24.65,00
57.1,2465.0,24.65,00
57.2,112465.0,24.65,00
58.0,11112469.0,24.69,00
58.1,11112469.0,24.69,00
59.1,11112466.0,24.66,00
59.2,112466.0,24.66,00
61.0,112462.0,24.62,00
61.1,112462.0,24.62,00
61.2,112462.0,24.62,00
67.2,2469.0,24.69,00
68.0,1102469.0,24.69,00
68.1,1102469.0,24.69,00
68.2,2469.0,24.69,00
69.1,2465.0,24.65,00
70.1,2462.0,24.62,00
70.2,1102462.0,24.62,00
71.0,11112459.0,24.59,00
71.1,11112459.0,24.59,00
71.2,1102459.0,24.59,00
72.0,11112455.0,24.55,00
72.1,1102455.0,24.55,00
72.2,1102455.0,24.55,00
73.0,11112456.0,24.56,00
73.1,112456.0,24.56,00
73.2,112456.0,24.56,00
75.1,112452.0,24.52,00
75.2,2452.0,24.52,00
78.1,2459.0,24.59,00
83.1,112465.0,24.65,00
83.2,2465.0,24.65,00
86.0,2459.0,24.59,00
86.1,2459.0,24.59,00
86.2,112459.0,24.59,00
89.0,112469.0,24.69,00
89.1,2469.0,24.69,00
89.2,1102469.0,24.69,00
91.0,112476.0,24.76,00
91.1,2476.0,24.76,00
91.2,1192476.0,24.76,00
92.1,2479.0,24.79,00
93.0,2479.0,24.79,00
93.2,1102479.0,24.79,00
95.1,112475.0,24.75,00
96.0,2474.0,24.74,00
97.0,11112472.0,24.72,00
97.1,1102462.0,24.62,00
99.0,2462.0,24.62,00
99.1,2462.0,24.62,00
99.2,1102462.0,24.62,00
101.0,11112465.0,24.65,00
101.1,1102465.0,24.65,00
101.2,112465.0,24.65,00
103.1,2468.0,24.68,00
104.1,1102464.0,24.64,00
105.1,11112469.0,24.69,00
105.2,2469.0,24.69,00
108.0,2469.0,24.69,00
108.1,2469.0,24.69,00
108.2,1102469.0,24.69,00
109.0,112469.0,24.69,00
109.1,112469.0,24.69,00
110.0,1102465.0,24.65,00
110.1,1102465.0,24.65,00
110.2,2465.0,24.65,00
111.0,2459.0,24.59,00
111.1,2459.0,24.59,00
111.2,2459.0,24.59,00
113.0,1102456.0,24.56,00
113.1,2456.0,24.56,00
114.1,112456.0,24.56,00
115.0,2454.0,24.54,00
115.2,2454.0,24.54,00
120.2,2474.0,24.74,00
122.0,112473.0,24.73,00
125.0,2465.0,24.65,00
125.1,2465.0,24.65,00
125.2,112465.0,24.65,00
127.0,2465.0,24.65,00
127.1,2465.0,24.65,00
127.2,2465.0,24.65,00
128.0,2463.0,24.63,00
130.0,2459.0,24.59,00
130.1,2459.0,24.59,00
130.2,1102459.0,24.59,00
131.2,11112466.0,24.66,00
133.1,2469.0,24.69,00
133.2,2469.0,24.69,00
136.0,11112469.0,24.69,00
136.1,112469.0,24.69,00
136.2,2469.0,24.69,00
137.0,2465.0,24.65,00
137.1,2463.0,24.63,00
142.0,112466.0,24.66,00
143.1,2473.0,24.73,00
144.1,1102465.0,24.65,00
144.2,82465.0,24.65,00
145.0,1182483.0,24.83,00
147.1,11112482.0,24.82,00
147.2,112482.0,24.82,00
148.0,82480.0,24.8,00
149.0,482486.0,24.86,00
150.2,2483.0,24.83,00
153.0,1102475.0,24.75,00
155.1,11112570.0,25.7,00
156.2,2469.0,24.69,00
157.2,112466.0,24.66,00
159.0,2462.0,24.62,00
159.1,1182462.0,24.62,00
159.2,1192462.0,24.62,00
160.1,442462.0,24.62,00
160.2,112462.0,24.62,00
161.0,42464.0,24.64,00
161.1,442469.0,24.69,00
161.2,11112464.0,24.64,00
162.0,11112465.0,24.65,00
162.1,2465.0,24.65,00
162.2,4112465.0,24.65,00
163.0,1102465.0,24.65,00
163.1,11112465.0,24.65,00
163.2,2465.0,24.65,00
164.0,1102462.0,24.62,00
164.1,11112462.0,24.62,00
164.2,2462.0,24.62,00
170.0,112472.0,24.72,00
170.1,1102472.0,24.72,00
170.2,402422.0,24.22,00
171.0,4112469.0,24.69,00
171.1,1182469.0,24.69,00
171.2,2469.0,24.69,00
172.0,4112473.0,24.73,00
174.0,112462.0,24.62,00
174.1,11112462.0,24.62,00
174.2,11112462.0,24.62,00
178.0,11112455.0,24.55,00
178.1,4112455.0,24.55,00
179.2,1182453.0,24.53,00
186.2,1102464.0,24.64,00
187.1,2466.0,24.66,00
190.0,402466.0,24.66,00
190.1,2466.0,24.66,00
191.0,1182472.0,24.72,00
191.2,2472.0,24.72,00
193.1,11112473.0,24.73,00
194.0,1182465.0,24.65,00
194.2,11112465.0,24.65,00
199.0,112449.0,24.49,00
199.2,82449.0,24.49,00
200.0,4112456.0,24.56,00
200.1,4112456.0,24.56,00
200.2,1102456.0,24.56,00
202.0,11112465.0,24.65,00
202.1,11112465.0,24.65,00
202.2,1102465.0,24.65,00
208.0,602466.0,24.66,00
208.2,6112466.0,24.66,00
209.2,11112459.0,24.59,00
211.0,1102462.0,24.62,00
211.1,1182462.0,24.62,00
211.2,2462.0,24.62,00
213.0,482459.0,24.59,00
213.1,1182459.0,24.59,00
213.2,11112459.0,24.59,00
216.0,11112455.0,24.55,00
216.1,2455.0,24.55,00
216.2,2455.0,24.55,00
218.0,482462.0,24.62,00
218.1,602462.0,24.62,00
218.2,11112462.0,24.62,00
221.2,1102455.0,24.55,00
225.2,112445.0,24.45,00
226.0,1102445.0,24.45,00
226.1,1182445.0,24.45,00
226.2,42446.0,24.46,00
227.0,112446.0,24.46,00
231.2,11112453.0,24.53,00
