frame,predicted_digit,,last_4_digits
2,2299,,22.99
2.2,21100,,23
3,21100,,23
4,21199,,22.99
5.1,21194,,22.94
7,2999,,22.99
8.1,21109,,23.09
8.2,21109,,23.09
9,21109,,23.09
10.2,21105,,23.05
11,21105,,23.05
11.1,21102,,23.02
11.2,21102,,23.02
12,21102,,23.02
12.1,21197,,22.97
12.2,2297,,22.97
13,21197,,22.97
13.1,21199,,22.99
14,2299,,22.99
14.1,2995,,22.95
14.2,111195,,22.95
15,2295,,22.95
15.1,21199,,22.99
16,2299,,22.99
16.1,2293,,22.93
16.2,2993,,22.93
17,21193,,22.93
17.2,111194,,22.94
18,21194,,22.94
19.1,21195,,22.95
19.2,2295,,22.95
20,2295,,22.95
20.1,21100,,23
20.2,21100,,23
21,21100,,23
21.1,21109,,23.09
21.2,21101,,23.01
22,21109,,23.09
22.1,21100,,23
22.2,21100,,23
23,21100,,23
23.1,21101,,23.01
23.2,21101,,23.01
24,21101,,23.01
24.1,21105,,23.05
24.2,21105,,23.05
25,21105,,23.05
25.1,21105,,23.05
25.2,21105,,23.05
26,21105,,23.05
27.1,21105,,23.05
27.2,21105,,23.05
28,21105,,23.05
28.2,21109,,23.09
29.2,21110,,23.1
30.1,21109,,23.09
31.2,21107,,23.07
32,21107,,23.07
32.2,21102,,23.02
33.1,21100,,23
33.2,21100,,23
34,21100,,23
35,2299,,22.99
35.1,2305,,23.05
35.2,21105,,23.05
36,21105,,23.05
36.1,21103,,23.03
36.2,21109,,23.09
37,21109,,23.09
37.1,21103,,23.03
37.2,21103,,23.03
38,21103,,23.03
38.1,21104,,23.04
38.2,21104,,23.04
39,21104,,23.04
39.1,21105,,23.05
39.2,21105,,23.05
40,21105,,23.05
40.2,21109,,23.09
41.2,21107,,23.07
42,21107,,23.07
42.1,21105,,23.05
42.2,21105,,23.05
43,21105,,23.05
43.1,21109,,23.09
43.2,21103,,23.03
44,21109,,23.09
44.1,21104,,23.04
44.2,21104,,23.04
45,21104,,23.04
45.2,21104,,23.04
46.1,2303,,23.03
46.2,21103,,23.03
47,21103,,23.03
47.1,21104,,23.04
48,21104,,23.04
48.1,21102,,23.02
48.2,112302,,23.02
49.1,21103,,23.03
49.2,21103,,23.03
50,21103,,23.03
50.2,21104,,23.04
51,21104,,23.04
51.2,21101,,23.01
52.1,1121103,,23.03
52.2,21103,,23.03
53,21103,,23.03
53.1,21100,,23
54,21100,,23
54.1,21103,,23.03
54.2,21103,,23.03
55,21103,,23.03
55.1,21197,,22.97
55.2,2297,,22.97
56,2297,,22.97
56.1,21100,,23
56.2,21100,,23
57.1,21100,,23
57.2,21100,,23
58,21100,,23
58.1,21102,,23.02
58.2,21102,,23.02
59,21102,,23.02
59.1,21105,,23.05
59.2,21105,,23.05
60,21105,,23.05
60.1,21101,,23.01
60.2,21101,,23.01
61,21101,,23.01
61.1,21193,,22.93
61.2,2993,,22.93
62,2993,,22.93
62.1,2295,,22.95
62.2,2995,,22.95
63,2295,,22.95
63.1,21103,,23.03
63.2,21103,,23.03
64,21103,,23.03
64.2,21100,,23
65,21100,,23
67.1,21103,,23.03
67.2,21103,,23.03
68.1,8021109,,23.09
68.2,21103,,23.03
69,21103,,23.03
69.1,2303,,23.03
69.2,21103,,23.03
70,21103,,23.03
70.1,2303,,23.03
70.2,11021103,,23.03
71,11021103,,23.03
71.2,21101,,23.01
72,2301,,23.01
72.1,21103,,23.03
72.2,21103,,23.03
73,21103,,23.03
73.1,21103,,23.03
73.2,21103,,23.03
74,21103,,23.03
74.1,21109,,23.09
74.2,11021103,,23.03
75,11021103,,23.03
76,11021102,,23.02
76.1,2995,,22.95
76.2,1102996,,22.96
77,2295,,22.95
77.1,2295,,22.95
77.2,2295,,22.95
78,21195,,22.95
79.1,21100,,23
79.2,21100,,23
80,21100,,23
80.1,11021191,,22.91
81.1,2293,,22.93
82.2,2299,,22.99
83.2,2293,,22.93
84,2993,,22.93
85,21100,,23
85.1,21105,,23.05
85.2,21105,,23.05
86,21105,,23.05
86.1,21105,,23.05
86.2,21105,,23.05
87,21105,,23.05
88.1,21103,,23.03
89,21103,,23.03
89.1,2303,,23.03
89.2,11021103,,23.03
90.1,2305,,23.05
90.2,21105,,23.05
91,21105,,23.05
91.1,21103,,23.03
91.2,21103,,23.03
92,21103,,23.03
92.1,21104,,23.04
92.2,21104,,23.04
93,21104,,23.04
93.1,21103,,23.03
93.2,21103,,23.03
95.1,21100,,23
96.1,21100,,23
97,21109,,23.09
97.2,2299,,22.99
98,2299,,22.99
98.1,2294,,22.94
98.2,2294,,22.94
99,2294,,22.94
100.2,2299,,22.99
101.2,21195,,22.95
102,2295,,22.95
105,21109,,23.09
106.1,21105,,23.05
106.2,21105,,23.05
107,21105,,23.05
107.1,21101,,23.01
107.2,21101,,23.01
108.1,21101,,23.01
110,21102,,23.02
110.2,21102,,23.02
111.1,21104,,23.04
111.2,2304,,23.04
112,21104,,23.04
112.1,2993,,22.93
112.2,2293,,22.93
113.1,2293,,22.93
113.2,2293,,22.93
114,2293,,22.93
114.1,21100,,23
115.1,21103,,23.03
115.2,11021103,,23.03
117,21109,,23.09
117.1,21105,,23.05
117.2,2305,,23.05
118,21105,,23.05
118.1,21105,,23.05
118.2,21105,,23.05
119,21105,,23.05
119.1,21103,,23.03
119.2,21103,,23.03
120,21103,,23.03
120.1,21101,,23.01
120.2,21101,,23.01
121.1,21105,,23.05
121.2,21105,,23.05
122,21105,,23.05
123.1,2293,,22.93
123.2,2293,,22.93
124.1,2293,,22.93
124.2,2299,,22.99
125,21199,,22.99
126,2293,,22.93
126.1,2293,,22.93
127.1,21193,,22.93
127.2,2253,,22.53
128,2299,,22.99
129,21101,,23.01
129.1,21104,,23.04
129.2,21104,,23.04
130,21104,,23.04
130.1,21104,,23.04
130.2,21104,,23.04
131,21104,,23.04
131.1,21109,,23.09
131.2,21109,,23.09
132.1,21105,,23.05
132.2,21105,,23.05
133,21105,,23.05
133.1,21104,,23.04
133.2,21104,,23.04
134,21104,,23.04
134.1,21109,,23.09
135.1,21105,,23.05
135.2,21105,,23.05
136,21105,,23.05
136.1,21105,,23.05
136.2,21105,,23.05
137,21105,,23.05
137.1,21109,,23.09
137.2,21109,,23.09
138,21103,,23.03
139.2,21112,,23.12
140,21112,,23.12
140.2,21115,,23.15
141.1,211110,,23.1
142.1,21113,,23.13
142.2,21113,,23.13
143,21113,,23.13
143.1,21115,,23.15
143.2,21115,,23.15
144,21115,,23.15
144.1,21119,,23.19
144.2,21119,,23.19
145.2,11021115,,23.15
146,21115,,23.15
146.2,21115,,23.15
147,21115,,23.15
