frame,predicted_digit,,last_4_digits
1,2340,,23.4
1.1,21140,,23.4
1.2,21143,,23.43
2,21143,,23.43
2.1,2343,,23.43
2.2,21145,,23.45
3,21145,,23.45
3.2,21151,,23.51
4,2251,,23.51
4.1,21151,,23.51
4.2,21148,,23.48
5,2548,,23.48
5.1,21148,,23.48
5.2,21149,,23.49
6,2349,,23.49
6.1,2549,,23.49
6.2,21140,,23.4
7,2340,,23.4
7.1,21140,,23.4
7.2,21144,,23.44
8,21144,,23.44
8.1,21144,,23.44
8.2,21138,,23.38
9,21138,,23.38
9.1,2338,,23.38
9.2,21143,,23.43
10,21143,,23.43
10.1,21143,,23.43
10.2,21139,,23.39
11,21139,,23.39
11.1,21139,,23.39
11.2,21137,,23.37
12,2337,,23.37
12.1,21137,,23.37
12.2,2538,,23.38
13,2538,,23.38
13.1,21138,,23.38
13.2,2341,,23.41
14,21141,,23.41
14.1,2341,,23.41
14.2,21141,,23.41
15,21141,,23.41
15.1,2341,,23.41
15.2,2541,,23.41
16,21141,,23.41
16.1,2341,,23.41
16.2,21143,,23.43
17,21143,,23.43
17.1,21143,,23.43
17.2,21138,,23.38
18,21138,,23.38
18.1,21138,,23.38
18.2,21143,,23.43
19,21143,,23.43
19.1,2043,,23.43
19.2,21142,,23.42
20,21142,,23.42
20.1,21142,,23.42
20.2,21143,,23.43
21,21143,,23.43
21.1,2343,,23.43
21.2,21142,,23.42
22,2342,,23.42
22.1,21142,,23.42
22.2,21148,,23.48
23,21148,,23.48
23.1,2548,,23.48
23.2,21148,,23.48
24,21148,,23.48
24.1,21148,,23.48
25,21140,,23.4
25.1,2340,,23.4
25.2,21151,,23.51
26,21151,,23.51
26.1,2051,,23.51
26.2,2340,,23.4
27,21140,,23.4
27.1,21140,,23.4
27.2,21149,,23.49
28,2349,,23.49
28.1,2349,,23.49
28.2,21145,,23.45
29,21145,,23.45
29.1,21145,,23.45
29.2,21140,,23.4
30,21140,,23.4
30.1,2340,,23.4
30.2,21139,,23.39
31,21139,,23.39
31.1,21139,,23.39
31.2,21138,,23.38
32,2338,,23.38
32.1,2338,,23.38
32.2,21140,,23.4
33,2340,,23.4
33.1,21140,,23.4
33.2,2333,,23.33
34,21133,,23.33
34.1,21133,,23.33
34.2,21131,,23.31
35,21131,,23.31
35.1,21131,,23.31
35.2,2528,,23.28
36,2328,,23.28
36.1,21128,,23.28
36.2,2332,,23.32
37,2532,,23.32
37.1,21132,,23.32
37.2,21130,,23.3
38,2230,,23.3
38.2,21133,,23.33
39,21133,,23.33
39.1,21133,,23.33
39.2,2537,,23.37
40,21137,,23.37
40.1,2337,,23.37
40.2,21130,,23.3
41,21130,,23.3
41.1,2530,,23.3
41.2,21141,,23.41
42,2341,,23.41
42.1,21141,,23.41
42.2,21148,,23.48
43,21148,,23.48
43.1,2548,,23.48
43.2,21151,,23.51
44,21151,,23.51
44.1,2257,,23.57
44.2,21150,,23.5
45,2350,,23.5
45.1,2350,,23.5
45.2,2552,,23.52
46,21152,,23.52
46.1,2352,,23.52
46.2,2552,,23.52
47,2352,,23.52
47.1,21152,,23.52
47.2,21150,,23.5
48,21150,,23.5
48.1,21150,,23.5
48.2,2357,,23.57
49,21151,,23.51
49.1,2351,,23.51
49.2,21148,,23.48
50,21148,,23.48
50.1,21148,,23.48
50.2,2340,,23.4
51,21140,,23.4
51.1,21140,,23.4
51.2,2343,,23.43
52,2343,,23.43
52.1,2343,,23.43
52.2,21141,,23.41
53,21141,,23.41
