frame,predicted_digit,,last_4_digits
1,21122,,23.22
1.1,21122,,23.22
1.2,21122,,23.22
2,21122,,23.22
2.1,2922,,23.22
2.2,2922,,23.22
3,21122,,23.22
3.1,21122,,23.22
3.2,21122,,23.22
4,21122,,23.22
4.1,11920,,23.2
4.2,21120,,23.2
5,21120,,23.2
5.1,21122,,23.22
5.2,111122,,23.22
6,21122,,23.22
6.1,21124,,23.24
6.2,2924,,23.24
7,2924,,23.24
7.1,2925,,23.25
7.2,2925,,23.25
8,21125,,23.25
8.1,111127,,23.27
8.2,2927,,23.27
9,2927,,23.27
9.1,21126,,23.26
9.2,21126,,23.26
10,2926,,23.26
10.1,21122,,23.22
10.2,2922,,23.22
11,111122,,23.22
11.1,21124,,23.24
11.2,21124,,23.24
12,2924,,23.24
12.1,11921,,23.21
12.2,21121,,23.21
13,21121,,23.21
13.1,21120,,23.2
13.2,21120,,23.2
14,21120,,23.2
14.1,2919,,23.19
14.2,2919,,23.19
15,2919,,23.19
15.1,21124,,23.24
15.2,2924,,23.24
16,2924,,23.24
16.1,2920,,23.2
16.2,2920,,23.2
17,2920,,23.2
17.1,21120,,23.2
17.2,2920,,23.2
18,2920,,23.2
18.1,2925,,23.25
18.2,2925,,23.25
19,2925,,23.25
19.1,2920,,23.2
19.2,21120,,23.2
20,2920,,23.2
20.1,21119,,23.19
20.2,21119,,23.19
21,21119,,23.19
21.1,2919,,23.19
22.1,2920,,23.2
22.2,21120,,23.2
23,2920,,23.2
23.1,2919,,23.19
23.2,2919,,23.19
24,11919,,23.19
24.1,21123,,23.23
24.2,2923,,23.23
25,2923,,23.23
25.1,2919,,23.19
26.1,11920,,23.2
26.2,21120,,23.2
27,2920,,23.2
27.1,21122,,23.22
27.2,2922,,23.22
28,2922,,23.22
28.1,2920,,23.2
28.2,2920,,23.2
29,21120,,23.2
29.1,2920,,23.2
29.2,21120,,23.2
30,2620,,23.2
30.1,21120,,23.2
30.2,2920,,23.2
31,21120,,23.2
31.1,11920,,23.2
31.2,2920,,23.2
32,21120,,23.2
32.1,2923,,23.23
32.2,2923,,23.23
33,21123,,23.23
33.1,21123,,23.23
33.2,21123,,23.23
34,2923,,23.23
34.1,2922,,23.22
34.2,2922,,23.22
35,21122,,23.22
35.1,2922,,23.22
35.2,21122,,23.22
36,21122,,23.22
36.1,3924,,23.24
36.2,21124,,23.24
37,21124,,23.24
37.1,2922,,23.22
37.2,2922,,23.22
38,111122,,23.22
38.1,2922,,23.22
38.2,111122,,23.22
39,2922,,23.22
39.1,21123,,23.23
39.2,111123,,23.23
40,111123,,23.23
40.1,2919,,23.19
40.2,2919,,23.19
41,21119,,23.19
41.1,2919,,23.19
41.2,21119,,23.19
42,31119,,23.19
42.1,21119,,23.19
42.2,111119,,23.19
43,2919,,23.19
43.1,21119,,23.19
43.2,21119,,23.19
44,21119,,23.19
44.1,21120,,23.2
44.2,21120,,23.2
45,21120,,23.2
45.1,21121,,23.21
45.2,21121,,23.21
46,21121,,23.21
46.1,21117,,23.17
46.2,2917,,23.17
47,2917,,23.17
47.1,21111,,23.11
47.2,2911,,23.11
48,2611,,23.11
48.1,11611,,23.11
48.2,21111,,23.11
49,2911,,23.11
49.1,21113,,23.13
49.2,21113,,23.13
50,21113,,23.13
50.1,21111,,23.11
50.2,21111,,23.11
51,21111,,23.11
51.1,2911,,23.11
51.2,21111,,23.11
52,21111,,23.11
52.2,2909,,23.09
53.1,21107,,23.07
53.2,2907,,23.07
54,21107,,23.07
54.1,2909,,23.09
54.2,21108,,23.08
55,2909,,23.09
55.1,2912,,23.12
55.2,21112,,23.12
56,2912,,23.12
56.1,2915,,23.15
56.2,21115,,23.15
57,2915,,23.15
57.1,21114,,23.14
57.2,2914,,23.14
58,2914,,23.14
58.1,2914,,23.14
58.2,2514,,23.14
59,2914,,23.14
59.1,11916,,23.16
59.2,21116,,23.16
60,11916,,23.16
60.1,21118,,23.18
60.2,21118,,23.18
61.1,2922,,23.22
61.2,21122,,23.22
62,21122,,23.22
62.1,2920,,23.2
62.2,21120,,23.2
63,21120,,23.2
63.1,21118,,23.18
63.2,21118,,23.18
64,21118,,23.18
64.1,21116,,23.16
64.2,2916,,23.16
65,2916,,23.16
65.1,2915,,23.15
65.2,21115,,23.15
66,21115,,23.15
66.1,2915,,23.15
66.2,21115,,23.15
67,21115,,23.15
67.1,2914,,23.14
67.2,111114,,23.14
68,21114,,23.14
68.1,11916,,23.16
68.2,2916,,23.16
69,21116,,23.16
69.1,2914,,23.14
69.2,111114,,23.14
70,21114,,23.14
70.1,2915,,23.15
70.2,21115,,23.15
71,2915,,23.15
71.1,2920,,23.2
71.2,21120,,23.2
72,21120,,23.2
72.1,2919,,23.19
72.2,111119,,23.19
73,2919,,23.19
73.2,2918,,23.18
74,111118,,23.18
74.1,21121,,23.21
74.2,21121,,23.21
75,2921,,23.21
75.1,11923,,23.23
75.2,21123,,23.23
76,21123,,23.23
76.1,2927,,23.27
76.2,2927,,23.27
77,21127,,23.27
77.1,2925,,23.25
77.2,21125,,23.25
78,21125,,23.25
78.1,2924,,23.24
78.2,21124,,23.24
79,2924,,23.24
79.1,21124,,23.24
79.2,2924,,23.24
80,21124,,23.24
80.2,11928,,23.28
81,21129,,23.29
81.1,111132,,23.32
81.2,2932,,23.32
82,21132,,23.32
82.1,21129,,23.29
82.2,21129,,23.29
83,21129,,23.29
83.1,21130,,23.3
83.2,2930,,23.3
84,2930,,23.3
84.1,2927,,23.27
84.2,2927,,23.27
85,111127,,23.27
85.1,21125,,23.25
85.2,2925,,23.25
86,2925,,23.25
86.1,2925,,23.25
86.2,21125,,23.25
87,11926,,23.26
87.1,2923,,23.23
87.2,2923,,23.23
88,11923,,23.23
88.1,2919,,23.19
88.2,2919,,23.19
89,2919,,23.19
89.1,21124,,23.24
89.2,2924,,23.24
90,2924,,23.24
90.1,21125,,23.25
90.2,11925,,23.25
91,2925,,23.25
91.1,11920,,23.2
91.2,2920,,23.2
92,21120,,23.2
92.1,11916,,23.16
92.2,2916,,23.16
93,21116,,23.16
93.1,2918,,23.18
94.1,2920,,23.2
94.2,2920,,23.2
95,2920,,23.2
95.1,2922,,23.22
95.2,21122,,23.22
96,2922,,23.22
96.1,21121,,23.21
96.2,2921,,23.21
97,2921,,23.21
97.1,2914,,23.14
97.2,2914,,23.14
98,11914,,23.14
98.1,11914,,23.14
98.2,21114,,23.14
99,2914,,23.14
99.1,2916,,23.16
99.2,2916,,23.16
100,2915,,23.15
100.1,21117,,23.17
100.2,2917,,23.17
101,2917,,23.17
101.1,2923,,23.23
