frame,predicted_digit,,last_4_digits
1,21111,,23.11
1.1,21111,,23.11
1.2,21111,,23.11
2,21111,,23.11
2.1,111111,,23.11
2.2,111111,,23.11
3,21114,,23.14
3.1,21114,,23.14
3.2,21114,,23.14
4,21119,,23.19
4.1,21111,,23.11
6,111124,,23.24
6.1,21124,,23.24
6.2,21124,,23.24
7.1,21125,,23.25
7.2,21125,,23.25
8,111125,,23.25
8.1,21125,,23.25
8.2,21125,,23.25
10,21124,,23.24
10.1,21124,,23.24
10.2,21124,,23.24
11,21122,,23.22
11.1,21122,,23.22
11.2,111122,,23.22
12.1,21121,,23.21
12.2,111129,,23.29
13,21122,,23.22
13.1,21122,,23.22
13.2,21122,,23.22
14,21119,,23.19
14.1,21119,,23.19
14.2,21119,,23.19
15.1,21111,,23.11
15.2,111111,,23.11
16,21115,,23.15
16.1,21115,,23.15
16.2,21115,,23.15
17,21115,,23.15
17.1,21115,,23.15
17.2,91115,,23.15
18,21113,,23.13
18.1,21113,,23.13
18.2,21113,,23.13
19,21115,,23.15
19.1,21115,,23.15
19.2,111115,,23.15
20,21112,,23.12
20.1,21112,,23.12
20.2,21112,,23.12
21,21101,,23.01
21.2,21101,,23.01
22,21105,,23.05
22.1,21105,,23.05
22.2,21105,,23.05
23,21105,,23.05
23.1,111105,,23.05
23.2,21106,,23.06
24,21104,,23.04
24.1,21104,,23.04
24.2,21104,,23.04
25,21109,,23.09
25.1,21109,,23.09
25.2,21101,,23.01
26,21104,,23.04
26.1,21104,,23.04
26.2,21104,,23.04
27,21100,,23
27.1,21100,,23
27.2,21100,,23
28,21102,,23.02
28.1,21102,,23.02
28.2,111102,,23.02
29,111105,,23.05
29.1,21105,,23.05
29.2,111105,,23.05
30,21103,,23.03
30.1,111103,,23.03
30.2,21103,,23.03
31,111102,,23.02
31.1,111102,,23.02
31.2,21102,,23.02
33,11299,,22.99
33.1,111199,,22.99
33.2,2299,,22.99
34,111194,,22.94
34.1,11294,,22.94
34.2,11294,,22.94
35,11293,,22.93
35.1,11293,,22.93
35.2,1011293,,22.93
36,11295,,22.95
36.1,11295,,22.95
36.2,111195,,22.95
37.1,11291,,22.91
37.2,11291,,22.91
38,11290,,22.9
38.1,111190,,22.9
39,1011292,,22.92
39.1,111192,,22.92
39.2,11011292,,22.92
40.1,11299,,22.99
40.2,10111191,,22.91
41,10111199,,22.99
41.1,10111199,,22.99
41.2,1011299,,22.99
42,111104,,23.04
42.1,111104,,23.04
42.2,111104,,23.04
43,111109,,23.09
43.1,111109,,23.09
43.2,21109,,23.09
44,21106,,23.06
44.1,21106,,23.06
44.2,111106,,23.06
45,21112,,23.12
45.1,21112,,23.12
45.2,21112,,23.12
46,21115,,23.15
46.1,21115,,23.15
46.2,21115,,23.15
47,111113,,23.13
49,111113,,23.13
49.1,21113,,23.13
49.2,2313,,23.13
50,21115,,23.15
50.1,21115,,23.15
50.2,11021115,,23.15
51.1,21119,,23.19
52.1,21121,,23.21
52.2,21121,,23.21
53,21125,,23.25
53.1,21125,,23.25
53.2,21125,,23.25
54,21125,,23.25
54.1,21125,,23.25
54.2,21125,,23.25
55,21125,,23.25
55.1,21125,,23.25
55.2,111125,,23.25
56,111123,,23.23
56.1,21123,,23.23
56.2,111123,,23.23
57,21126,,23.26
57.1,111126,,23.26
57.2,11326,,23.26
58,111124,,23.24
58.1,21124,,23.24
58.2,111124,,23.24
59,1121119,,23.19
59.1,21119,,23.19
59.2,21119,,23.19
60,111111,,23.11
60.1,21111,,23.11
61,111111,,23.11
61.1,111111,,23.11
61.2,21111,,23.11
63,21104,,23.04
63.1,21104,,23.04
63.2,21104,,23.04
64,21106,,23.06
64.1,111106,,23.06
64.2,21105,,23.05
65,11021101,,23.01
65.1,21109,,23.09
65.2,111109,,23.09
66,21103,,23.03
68,91111,,23.11
68.1,21111,,23.11
68.2,21111,,23.11
71,21124,,23.24
71.1,21124,,23.24
72.1,111129,,23.29
72.2,21121,,23.21
73.1,111125,,23.25
73.2,21125,,23.25
74,21123,,23.23
74.1,111123,,23.23
74.2,21123,,23.23
75,21125,,23.25
75.1,21125,,23.25
75.2,21125,,23.25
76,21123,,23.23
76.1,11021123,,23.23
76.2,11021123,,23.23
77,111125,,23.25
77.1,21126,,23.26
77.2,21126,,23.26
78,21124,,23.24
78.1,21124,,23.24
78.2,21124,,23.24
79,21119,,23.19
79.1,21119,,23.19
80,21113,,23.13
80.2,21113,,23.13
81,21113,,23.13
81.1,21119,,23.19
81.2,21119,,23.19
82.1,21121,,23.21
83,21120,,23.2
83.1,21120,,23.2
83.2,21120,,23.2
84,21123,,23.23
84.1,21123,,23.23
84.2,21123,,23.23
