frame,predicted_digit,,last_4_digits
18.1,21148,,23.48
19,111149,,23.49
19.1,2345,,23.45
19.2,2345,,23.45
20,11345,,23.45
20.2,11342,,23.42
22.2,2135,,23.35
23.1,2139,,23.39
23.2,2132,,23.32
24,2132,,23.32
24.1,2128,,23.28
25,2129,,23.29
25.1,2328,,23.28
25.2,102328,,23.28
26,2628,,23.28
26.1,21132,,23.32
26.2,21132,,23.32
27,2332,,23.32
28.1,111170,,23.3
30.1,1011354,,23.54
31,2335,,23.35
32.1,21143,,23.43
32.2,21143,,23.43
34.1,21153,,23.53
34.2,11353,,23.53
35,2345,,23.45
35.2,21143,,23.43
36,3653,,23.53
36.1,111152,,23.52
36.2,111152,,23.52
37,21142,,23.42
38.1,21135,,23.35
38.2,21135,,23.35
39,2333,,23.33
39.2,21131,,23.31
40.1,2135,,23.35
40.2,2335,,23.35
41,2335,,23.35
42.2,21144,,23.44
43.1,21143,,23.43
43.2,21143,,23.43
44,21143,,23.43
45,211410,,23.4
46,21143,,23.43
46.2,21141,,23.41
48,2153,,23.53
48.1,21145,,23.45
48.2,21145,,23.45
49,21143,,23.43
49.1,21143,,23.43
49.2,21143,,23.43
50,21143,,23.43
51,21142,,23.42
51.2,2345,,23.45
52,2345,,23.45
52.1,21145,,23.45
52.2,2345,,23.45
53,21145,,23.45
53.1,21145,,23.45
53.2,21149,,23.49
55.2,21153,,23.53
57.1,21152,,23.52
57.2,21152,,23.52
59.2,21143,,23.43
61.2,21153,,23.53
62,21153,,23.53
62.2,21151,,23.51
63,21151,,23.51
63.2,21143,,23.43
65.2,21191,,23.51
66,21141,,23.41
66.1,21143,,23.43
66.2,21143,,23.43
67.1,21143,,23.43
67.2,21143,,23.43
69.1,11343,,23.43
69.2,21193,,23.43
70,21193,,23.43
70.1,21143,,23.43
71,2341,,23.41
71.1,21143,,23.43
71.2,2341,,23.41
72,2341,,23.41
74.1,2342,,23.42
74.2,2342,,23.42
75,2343,,23.43
75.1,21143,,23.43
75.2,21191,,23.41
77,2341,,23.41
78,21143,,23.43
78.1,2344,,23.44
78.2,2344,,23.44
80.1,2352,,23.52
80.2,2352,,23.52
