frame,predicted_digit,,last_4_digits
1,111134,,23.34
1.1,2634,,23.34
1.2,2634,,23.34
2,2634,,23.34
2.1,2633,,23.33
2.2,2633,,23.33
3,2633,,23.33
3.1,2631,,23.31
3.2,2631,,23.31
4,21131,,23.31
4.1,21127,,23.27
4.2,2627,,23.27
5,2627,,23.27
5.1,2628,,23.28
6.1,21130,,23.3
6.2,111130,,23.3
7,21130,,23.3
7.1,21129,,23.29
7.2,21129,,23.29
8,21129,,23.29
8.1,111133,,23.33
8.2,21133,,23.33
9,21133,,23.33
10.1,21125,,23.25
10.2,21125,,23.25
11,111125,,23.25
11.1,111130,,23.3
11.2,111130,,23.3
12,111130,,23.3
12.1,111134,,23.34
12.2,21134,,23.34
13,21134,,23.34
13.1,21132,,23.32
13.2,21132,,23.32
14,111132,,23.32
14.1,21134,,23.34
14.2,21134,,23.34
15,21134,,23.34
15.1,21139,,23.39
15.2,21139,,23.39
16,111139,,23.39
16.1,21143,,23.43
16.2,111143,,23.43
17,31143,,23.43
17.1,21142,,23.42
17.2,111142,,23.42
18,21142,,23.42
18.1,21142,,23.42
18.2,21142,,23.42
19,111142,,23.42
19.1,2638,,23.38
19.2,21138,,23.38
20,2638,,23.38
20.1,21134,,23.34
20.2,21134,,23.34
21,111134,,23.34
21.1,21133,,23.33
21.2,21133,,23.33
22,31133,,23.33
22.1,2629,,23.29
22.2,21129,,23.29
23,21129,,23.29
23.1,21129,,23.29
23.2,2629,,23.29
24,2629,,23.29
25.1,21129,,23.29
25.2,21129,,23.29
26,21129,,23.29
26.1,2632,,23.32
26.2,21132,,23.32
27,111132,,23.32
28,31137,,23.37
28.1,21138,,23.38
28.2,2638,,23.38
29.1,21141,,23.41
29.2,21141,,23.41
30,11641,,23.41
30.1,21141,,23.41
30.2,21141,,23.41
31,31141,,23.41
31.1,2636,,23.36
31.2,21136,,23.36
32,21135,,23.35
32.1,31132,,23.32
32.2,21132,,23.32
33,21132,,23.32
33.1,111131,,23.31
33.2,21131,,23.31
34,21131,,23.31
34.1,2625,,23.25
34.2,21125,,23.25
35,21125,,23.25
35.1,21124,,23.24
35.2,11624,,23.24
36,11624,,23.24
36.1,2625,,23.25
36.2,3625,,23.25
37,111125,,23.25
37.1,31120,,23.2
37.2,2620,,23.2
38,21120,,23.2
38.1,3619,,23.19
38.2,2619,,23.19
39,21119,,23.19
39.1,11620,,23.2
39.2,111120,,23.2
40,111120,,23.2
40.1,31123,,23.23
40.2,111123,,23.23
41,21123,,23.23
41.1,21125,,23.25
41.2,21125,,23.25
42,21125,,23.25
42.1,2629,,23.29
42.2,21129,,23.29
43,21129,,23.29
44.1,21130,,23.3
44.2,2630,,23.3
45,21130,,23.3
45.1,21132,,23.32
45.2,111132,,23.32
46,21132,,23.32
46.1,111132,,23.32
46.2,111132,,23.32
47,21132,,23.32
47.1,21133,,23.33
47.2,21133,,23.33
48,111133,,23.33
48.1,21131,,23.31
48.2,2631,,23.31
49,2631,,23.31
49.1,111125,,23.25
49.2,11626,,23.26
50,21126,,23.26
50.1,11623,,23.23
50.2,21123,,23.23
51,21123,,23.23
51.1,111121,,23.21
51.2,111121,,23.21
52,111121,,23.21
53.1,21117,,23.17
54,111117,,23.17
54.1,21114,,23.14
54.2,111114,,23.14
55,2614,,23.14
55.1,11021115,,23.15
55.2,21115,,23.15
56,21115,,23.15
56.1,21114,,23.14
56.2,21114,,23.14
57,2014,,23.14
57.1,21120,,23.2
58,2820,,23.2
58.1,7021122,,23.22
58.2,21122,,23.22
59,21122,,23.22
59.1,111120,,23.2
60,111129,,23.29
60.1,21131,,23.31
60.2,11111131,,23.31
61,1111111131,,23.31
61.1,11632,,23.32
61.2,11111132,,23.32
62,1111032,,23.32
63.1,11035,,23.35
63.2,21135,,23.35
64,21135,,23.35
64.2,2637,,23.37
65,11637,,23.37
65.1,111134,,23.34
