frame,predicted_digit,,last_4_digits
1.1,21118,,23.18
1.2,11613,,23.13
2,111111,,23.11
4.1,21124,,23.24
5.1,111123,,23.23
5.2,2828,,23.28
8.2,2811,,23.11
9,21111,,23.11
9.2,3820,,23.2
10,21120,,23.2
11.2,31118,,23.18
12.1,1111611,,23.11
13,111111,,23.11
14,2812,,23.12
15.1,111111,,23.11
16,2613,,23.13
16.1,2813,,23.13
16.2,2813,,23.13
17,21110,,23.1
17.1,11618,,23.18
17.2,31113,,23.13
18,11618,,23.18
18.1,21114,,23.14
18.2,802814,,23.14
19,802814,,23.14
19.1,3813,,23.13
19.2,111118,,23.18
20,11818,,23.18
20.1,21115,,23.15
20.2,31115,,23.15
21,21115,,23.15
21.1,111118,,23.18
23.1,21115,,23.15
23.2,2815,,23.15
24.1,1121120,,23.2
24.2,3820,,23.2
25,21120,,23.2
25.2,2618,,23.18
26,21118,,23.18
26.1,111118,,23.18
27,31118,,23.18
27.1,111124,,23.24
28,21124,,23.24
28.2,2821,,23.21
29,21121,,23.21
30,21118,,23.18
30.1,1121111,,23.11
30.2,21111,,23.11
31,21110,,23.1
31.1,2620,,23.2
31.2,21120,,23.2
32,3820,,23.2
32.1,111120,,23.2
33,2820,,23.2
33.2,2824,,23.24
34,11824,,23.24
34.1,11825,,23.25
34.2,111125,,23.25
35.2,3830,,23.3
36,3820,,23.2
36.1,2828,,23.28
37,21128,,23.28
37.1,3828,,23.28
37.2,2828,,23.28
38,11823,,23.23
38.1,21124,,23.24
38.2,21134,,23.34
39,3824,,23.24
40.1,2818,,23.18
45.1,2811,,23.11
45.2,21111,,23.11
46,2811,,23.11
46.1,2605,,23.05
46.2,21105,,23.05
47,31105,,23.05
47.1,2803,,23.03
48,3303,,23.03
48.1,21109,,23.09
48.2,2809,,23.09
49,21108,,23.08
49.1,21115,,23.15
50.1,2819,,23.19
50.2,2819,,23.19
51,21119,,23.19
51.1,21130,,23.3
51.2,802820,,23.2
52.1,21114,,23.14
52.2,2814,,23.14
53,2614,,23.14
53.1,21114,,23.14
54,31114,,23.14
54.1,21130,,23.3
54.2,11830,,23.3
55,21120,,23.2
55.1,2818,,23.18
55.2,31118,,23.18
56.2,111118,,23.18
58,21113,,23.13
58.1,2814,,23.14
58.2,21114,,23.14
59,21114,,23.14
59.1,21115,,23.15
60,21115,,23.15
60.1,2824,,23.24
60.2,2824,,23.24
61,2824,,23.24
61.1,11824,,23.24
62,31124,,23.24
62.1,2824,,23.24
62.2,111124,,23.24
63,2824,,23.24
63.1,21124,,23.24
63.2,21124,,23.24
64,21124,,23.24
64.1,21123,,23.23
65.1,2829,,23.29
66,3828,,23.28
66.2,21131,,23.31
67,11831,,23.31
67.1,21130,,23.3
67.2,21130,,23.3
68,11830,,23.3
68.1,21128,,23.28
68.2,2828,,23.28
69,111128,,23.28
69.1,21128,,23.28
69.2,2829,,23.29
70,21128,,23.28
70.1,2623,,23.23
70.2,21123,,23.23
72,11823,,23.23
72.1,21121,,23.21
73.2,2821,,23.21
74.2,2825,,23.25
75.1,2824,,23.24
75.2,111124,,23.24
76,2824,,23.24
77,31128,,23.28
77.2,2825,,23.25
78.1,21125,,23.25
79,21125,,23.25
79.1,11828,,23.28
79.2,2628,,23.28
80,2328,,23.28
80.1,21180,,23.8
80.2,3830,,23.3
81.1,21124,,23.24
81.2,21124,,23.24
82.1,3824,,23.24
82.2,111124,,23.24
83,11624,,23.24
84.1,21118,,23.18
84.2,21118,,23.18
85,21118,,23.18
85.1,21134,,23.34
85.2,2834,,23.34
86,21134,,23.34
86.1,3838,,23.38
86.2,2828,,23.28
87,21139,,23.39
87.1,111126,,23.26
87.2,21126,,23.26
88,21126,,23.26
88.1,21124,,23.24
89,2834,,23.34
89.1,21124,,23.24
89.2,21124,,23.24
90,21124,,23.24
90.2,21121,,23.21
92.1,21125,,23.25
93,21125,,23.25
93.1,2021,,23.21
93.2,21121,,23.21
94,3821,,23.21
94.1,21130,,23.3
94.2,111120,,23.2
95,21120,,23.2
95.1,21118,,23.18
96,11818,,23.18
97,1131113,,23.13
97.2,31121,,23.21
98.2,2328,,23.28
99.1,21124,,23.24
99.2,2824,,23.24
100,2824,,23.24
101.1,111130,,23.3
101.2,2830,,23.3
102,2830,,23.3
103.1,11830,,23.3
103.2,21130,,23.3
105,11825,,23.25
106.1,21128,,23.28
108.2,21118,,23.18
109.1,11811,,23.11
110,21111,,23.11
110.1,2009,,23.09
111,21108,,23.08
111.1,2008,,23.08
111.2,21108,,23.08
112,1111808,,23.08
113,2310,,23.1
113.1,21108,,23.08
113.2,2808,,23.08
114,21109,,23.09
114.1,2814,,23.14
114.2,2814,,23.14
115,111114,,23.14
116.1,2820,,23.2
116.2,2830,,23.3
117.1,2818,,23.18
118,21118,,23.18
118.1,2815,,23.15
