frame,predicted_digit,,last_4_digits
1,1111111108,,23.08
1.1,2308,,23.08
1.2,2301,,23.01
2,2301,,23.01
2.1,21101,,23.01
3,2306,,23.06
3.1,21106,,23.06
3.2,21106,,23.06
4,21106,,23.06
4.1,21106,,23.06
4.2,21105,,23.05
5,2909,,23.09
5.1,2909,,23.09
5.2,21101,,23.01
6,21101,,23.01
6.1,2901,,23.01
6.2,211010,,23.1
7,2305,,23.05
7.1,2305,,23.05
7.2,2305,,23.05
8,2305,,23.05
8.1,2305,,23.05
8.2,2315,,23.15
9,2314,,23.14
9.1,21114,,23.14
9.2,21114,,23.14
11,2324,,23.24
11.1,2324,,23.24
11.2,2321,,23.21
12,2321,,23.21
12.1,2321,,23.21
12.2,2321,,23.21
13.2,2329,,23.29
14,2329,,23.29
14.1,2329,,23.29
14.2,2320,,23.2
15,2330,,23.3
15.1,2330,,23.3
15.2,2331,,23.31
16,2331,,23.31
16.1,2331,,23.31
16.2,2331,,23.31
17,2329,,23.29
17.2,21129,,23.29
18,2329,,23.29
18.1,21129,,23.29
18.2,21129,,23.29
19,2328,,23.28
19.1,2328,,23.28
19.2,2329,,23.29
20,21129,,23.29
20.1,21129,,23.29
20.2,2321,,23.21
21,2321,,23.21
21.1,21121,,23.21
22,21125,,23.25
22.1,21125,,23.25
23,2321,,23.21
23.1,21121,,23.21
24,2326,,23.26
24.1,2325,,23.25
24.2,2325,,23.25
26,2329,,23.29
26.1,2328,,23.28
26.2,21129,,23.29
27,2329,,23.29
27.1,2329,,23.29
27.2,21129,,23.29
29.2,2324,,23.24
30,21124,,23.24
30.1,21124,,23.24
30.2,2324,,23.24
31,21124,,23.24
31.1,2324,,23.24
31.2,2324,,23.24
32,21123,,23.23
32.1,2323,,23.23
32.2,21121,,23.21
33,21121,,23.21
33.1,2321,,23.21
33.2,2321,,23.21
34,2329,,23.29
34.1,21129,,23.29
34.2,21121,,23.21
35,2321,,23.21
35.1,21121,,23.21
35.2,21121,,23.21
36,21129,,23.29
36.1,2329,,23.29
36.2,21126,,23.26
37,2326,,23.26
37.1,21126,,23.26
38,2321,,23.21
38.1,2321,,23.21
38.2,2321,,23.21
39,2321,,23.21
39.1,2321,,23.21
39.2,21131,,23.31
40,21131,,23.31
40.1,2331,,23.31
40.2,21131,,23.31
41,2330,,23.3
41.1,2330,,23.3
42,2326,,23.26
42.1,2325,,23.25
42.2,2326,,23.26
43,11326,,23.26
43.1,111126,,23.26
43.2,11926,,23.26
44,21127,,23.27
44.1,2321,,23.21
44.2,21121,,23.21
45,21129,,23.29
45.1,2929,,23.29
45.2,21133,,23.33
46,2332,,23.32
46.1,21132,,23.32
46.2,111132,,23.32
47,2928,,23.28
47.2,21124,,23.24
48,11924,,23.24
48.1,11924,,23.24
48.2,211210,,23.1
49,21122,,23.22
49.1,21122,,23.22
50,21125,,23.25
50.1,2325,,23.25
50.2,21123,,23.23
51,2323,,23.23
51.1,2323,,23.23
51.2,21121,,23.21
52,21121,,23.21
52.1,2321,,23.21
52.2,21121,,23.21
53,2320,,23.2
53.1,2320,,23.2
54,2319,,23.19
54.1,21119,,23.19
55,2323,,23.23
55.1,2323,,23.23
55.2,2326,,23.26
56,2325,,23.25
56.1,21125,,23.25
56.2,21124,,23.24
57,2324,,23.24
57.1,2324,,23.24
58,2323,,23.23
58.1,21123,,23.23
58.2,21123,,23.23
59,2325,,23.25
59.2,21126,,23.26
60,21121,,23.21
60.1,2321,,23.21
61,2325,,23.25
61.1,2925,,23.25
61.2,2330,,23.3
62,2330,,23.3
62.1,21130,,23.3
62.2,21121,,23.21
63,21121,,23.21
63.1,21121,,23.21
63.2,21129,,23.29
64,2329,,23.29
64.1,2329,,23.29
64.2,2333,,23.33
65,2333,,23.33
65.1,2333,,23.33
65.2,2331,,23.31
66,21131,,23.31
66.1,21131,,23.31
66.2,21131,,23.31
67,21130,,23.3
67.1,21130,,23.3
67.2,21131,,23.31
68,21121,,23.21
68.1,2321,,23.21
69,21132,,23.32
69.1,2932,,23.32
69.2,2921,,23.21
70,21121,,23.21
70.1,21121,,23.21
70.2,21131,,23.31
71,21131,,23.31
71.1,2331,,23.31
71.2,21129,,23.29
72,21129,,23.29
72.1,2929,,23.29
72.2,21125,,23.25
73,2325,,23.25
73.1,21125,,23.25
73.2,21125,,23.25
74,2325,,23.25
74.1,2325,,23.25
74.2,2325,,23.25
75,2325,,23.25
75.1,2325,,23.25
75.2,2623,,23.23
76,21123,,23.23
76.1,2323,,23.23
76.2,21125,,23.25
77,21125,,23.25
77.1,21125,,23.25
78.1,2328,,23.28
78.2,2325,,23.25
79,2326,,23.26
79.1,2326,,23.26
79.2,2326,,23.26
80,2325,,23.25
80.1,21126,,23.26
80.2,2325,,23.25
81,2326,,23.26
81.1,21126,,23.26
81.2,2325,,23.25
82,21125,,23.25
82.1,2325,,23.25
82.2,21129,,23.29
83,2329,,23.29
83.1,21129,,23.29
83.2,2333,,23.33
84,2333,,23.33
84.1,2333,,23.33
85.2,2333,,23.33
86,21133,,23.33
86.1,2933,,23.33
86.2,21131,,23.31
87,21131,,23.31
87.1,2331,,23.31
87.2,21129,,23.29
88,21129,,23.29
88.1,21129,,23.29
88.2,21130,,23.3
89,2630,,23.3
89.1,21130,,23.3
89.2,21133,,23.33
90,21133,,23.33
90.1,21133,,23.33
90.2,21130,,23.3
91,21130,,23.3
91.1,21130,,23.3
91.2,2332,,23.32
92,21132,,23.32
92.1,21132,,23.32
93,2328,,23.28
93.2,21122,,23.22
94,2322,,23.22
94.1,2322,,23.22
94.2,21121,,23.21
95,21121,,23.21
95.1,21121,,23.21
95.2,21120,,23.2
96,2320,,23.2
96.1,21120,,23.2
96.2,21111,,23.11
97,21111,,23.11
97.1,21111,,23.11
