frame,predicted_digit,,last_4_digits
1,2366,,23.66
1.1,2369,,23.69
1.2,2369,,23.69
2,2369,,23.69
3.1,21165,,23.65
3.2,21165,,23.65
4,21165,,23.65
4.2,2365,,23.65
5,2365,,23.65
5.1,2368,,23.68
5.2,21168,,23.68
6,21168,,23.68
6.1,21166,,23.66
6.2,2356,,23.56
7,2366,,23.66
7.1,2363,,23.63
7.2,2263,,23.63
8,2361,,23.61
8.2,2362,,23.62
9.1,2362,,23.62
9.2,2362,,23.62
10,2362,,23.62
10.1,2361,,23.61
10.2,2361,,23.61
11,2361,,23.61
11.2,2362,,23.62
12,2362,,23.62
12.1,2261,,23.61
12.2,2361,,23.61
13,2361,,23.61
13.1,2363,,23.63
13.2,2363,,23.63
14,2363,,23.63
14.1,2362,,23.62
14.2,2362,,23.62
15,21162,,23.62
15.1,2662,,23.62
15.2,21162,,23.62
16,21162,,23.62
16.1,2259,,23.59
16.2,21159,,23.59
17,21159,,23.59
17.1,21155,,23.55
17.2,21155,,23.55
18,21155,,23.55
18.1,2352,,23.52
18.2,2252,,23.52
19,2252,,23.52
19.1,21156,,23.56
19.2,21156,,23.56
20,21156,,23.56
20.1,21155,,23.55
20.2,21155,,23.55
21,21155,,23.55
21.1,21153,,23.53
21.2,2253,,23.53
22,2253,,23.53
22.1,21155,,23.55
22.2,21155,,23.55
23,21155,,23.55
23.1,21155,,23.55
23.2,2255,,23.55
24,21155,,23.55
24.1,21153,,23.53
25,2253,,23.53
25.1,2260,,23.6
25.2,21160,,23.6
26,2260,,23.6
26.1,2262,,23.62
26.2,21162,,23.62
27,2662,,23.62
27.1,21158,,23.58
27.2,21158,,23.58
28,2358,,23.58
28.1,21155,,23.55
28.2,21155,,23.55
29,2255,,23.55
29.1,2357,,23.57
29.2,21157,,23.57
30,21137,,23.37
30.1,21158,,23.58
30.2,2258,,23.58
31,21158,,23.58
31.1,2660,,23.6
31.2,2660,,23.6
32,21160,,23.6
32.1,2258,,23.58
32.2,21158,,23.58
33.1,21135,,23.35
33.2,21135,,23.35
34,21155,,23.55
34.1,21152,,23.52
34.2,2352,,23.52
35,2352,,23.52
35.1,2853,,23.53
35.2,2853,,23.53
36,2353,,23.53
36.1,2260,,23.6
36.2,2360,,23.6
37,21160,,23.6
37.1,21158,,23.58
37.2,2358,,23.58
38,21158,,23.58
38.1,21157,,23.57
38.2,21157,,23.57
39.1,21162,,23.62
39.2,21162,,23.62
40,21162,,23.62
40.1,21162,,23.62
40.2,21162,,23.62
41,21162,,23.62
41.1,21163,,23.63
41.2,21163,,23.63
42,21163,,23.63
42.1,2368,,23.68
42.2,21168,,23.68
43,2668,,23.68
43.1,21110,,23.1
43.2,21130,,23.3
44.1,21161,,23.61
44.2,2367,,23.67
