frame,predicted_digit,,last_4_digits
1,2346,,23.46
1.1,2345,,23.45
1.2,2344,,23.44
2,2344,,23.44
2.1,2344,,23.44
2.2,21142,,23.42
3,2342,,23.42
3.1,2342,,23.42
3.2,2344,,23.44
4,21144,,23.44
4.1,2344,,23.44
4.2,2340,,23.4
5,2340,,23.4
5.1,2340,,23.4
5.2,21148,,23.48
6,2348,,23.48
6.2,2349,,23.49
7,2349,,23.49
7.1,2349,,23.49
7.2,2351,,23.51
8,2351,,23.51
8.1,2351,,23.51
8.2,2355,,23.55
9,2356,,23.56
9.1,2655,,23.55
9.2,2360,,23.6
10,21160,,23.6
10.1,2360,,23.6
10.2,2364,,23.64
11,2364,,23.64
11.1,2364,,23.64
11.2,2364,,23.64
12,2364,,23.64
12.1,2364,,23.64
12.2,2361,,23.61
13,2361,,23.61
13.1,2361,,23.61
13.2,2361,,23.61
14,2361,,23.61
14.1,2361,,23.61
14.2,21164,,23.64
15,2364,,23.64
15.1,2364,,23.64
15.2,2361,,23.61
16,21161,,23.61
16.1,2361,,23.61
16.2,2359,,23.59
17,2359,,23.59
17.1,2359,,23.59
18,21158,,23.58
18.2,2353,,23.53
19,2353,,23.53
19.1,21153,,23.53
19.2,2352,,23.52
20,2352,,23.52
20.1,21152,,23.52
20.2,2352,,23.52
21,2352,,23.52
21.1,2352,,23.52
22.2,21152,,23.52
23,21152,,23.52
23.1,2352,,23.52
23.2,2352,,23.52
24,2352,,23.52
24.1,2352,,23.52
24.2,21150,,23.5
25,2350,,23.5
25.1,2350,,23.5
25.2,2349,,23.49
26,2349,,23.49
26.1,2349,,23.49
27,2348,,23.48
27.2,21149,,23.49
28,21149,,23.49
28.1,2349,,23.49
28.2,2349,,23.49
29,21149,,23.49
29.1,21149,,23.49
29.2,21151,,23.51
30,2351,,23.51
30.1,21151,,23.51
30.2,2351,,23.51
31,21151,,23.51
31.1,2351,,23.51
31.2,21154,,23.54
32,2354,,23.54
32.1,2354,,23.54
32.2,2354,,23.54
33,2354,,23.54
33.1,2354,,23.54
33.2,2351,,23.51
34,2351,,23.51
34.1,2351,,23.51
34.2,2359,,23.59
35,2359,,23.59
35.1,2359,,23.59
35.2,2355,,23.55
36,2356,,23.56
36.1,21156,,23.56
36.2,2353,,23.53
37,2353,,23.53
37.1,2353,,23.53
37.2,2350,,23.5
38,2350,,23.5
38.1,2350,,23.5
38.2,2350,,23.5
39,2350,,23.5
39.1,2350,,23.5
39.2,2349,,23.49
40.2,21149,,23.49
41,2349,,23.49
41.1,21149,,23.49
41.2,21141,,23.41
42,21141,,23.41
42.1,2341,,23.41
42.2,2351,,23.51
43,2351,,23.51
43.1,2351,,23.51
43.2,2355,,23.55
44,2355,,23.55
44.1,2355,,23.55
44.2,2351,,23.51
45,2351,,23.51
45.2,2359,,23.59
46,2359,,23.59
46.1,2359,,23.59
46.2,2359,,23.59
47,21159,,23.59
47.1,2359,,23.59
47.2,21161,,23.61
48,2361,,23.61
48.1,2361,,23.61
48.2,2360,,23.6
49,2360,,23.6
49.1,2360,,23.6
49.2,2359,,23.59
50,2359,,23.59
50.1,2359,,23.59
50.2,2355,,23.55
51,2355,,23.55
51.1,2355,,23.55
51.2,2353,,23.53
52,2353,,23.53
52.1,21153,,23.53
52.2,2348,,23.48
53.2,2348,,23.48
54,2348,,23.48
54.2,2342,,23.42
55,21142,,23.42
55.1,2342,,23.42
55.2,2339,,23.39
56,21139,,23.39
56.1,21139,,23.39
56.2,2343,,23.43
57,2343,,23.43
57.1,2343,,23.43
57.2,21143,,23.43
58,2343,,23.43
58.1,2343,,23.43
58.2,2343,,23.43
59,2343,,23.43
59.1,2343,,23.43
59.2,2341,,23.41
60,2341,,23.41
60.1,2341,,23.41
60.2,2352,,23.52
61,21152,,23.52
61.1,2352,,23.52
61.2,21153,,23.53
62,21153,,23.53
62.1,2353,,23.53
63,2358,,23.58
64.2,2349,,23.49
65,2649,,23.49
65.1,21149,,23.49
65.2,21150,,23.5
66,2350,,23.5
66.1,2350,,23.5
66.2,2351,,23.51
67,2651,,23.51
67.1,2351,,23.51
67.2,2341,,23.41
68,2341,,23.41
68.1,2341,,23.41
68.2,2345,,23.45
69,2345,,23.45
69.1,2345,,23.45
69.2,2344,,23.44
70,2344,,23.44
70.1,2344,,23.44
70.2,2342,,23.42
71,2342,,23.42
71.1,2342,,23.42
71.2,2342,,23.42
72,2342,,23.42
72.1,21142,,23.42
73.2,21141,,23.41
74,2341,,23.41
74.1,21141,,23.41
74.2,2345,,23.45
75,2346,,23.46
75.1,21145,,23.45
75.2,2648,,23.48
76,21148,,23.48
76.2,2846,,23.46
77,21146,,23.46
77.1,21146,,23.46
77.2,21149,,23.49
78,21149,,23.49
78.1,21149,,23.49
78.2,21151,,23.51
79,21151,,23.51
79.1,2351,,23.51
79.2,2353,,23.53
80,2353,,23.53
80.1,2353,,23.53
80.2,2353,,23.53
81,21153,,23.53
81.1,21153,,23.53
81.2,2354,,23.54
82,21154,,23.54
82.1,21154,,23.54
82.2,21154,,23.54
83,2354,,23.54
83.1,2354,,23.54
83.2,2351,,23.51
84,2351,,23.51
84.1,2351,,23.51
84.2,2354,,23.54
85,21154,,23.54
