frame,predicted_digit,,last_4_digits
1,2515,,25.15
1.1,112515,,25.15
1.2,11515,,15.15
2,2515,,25.15
2.1,2515,,25.15
2.2,2515,,25.15
3,2514,,25.14
4,2536,,25.36
4.1,2536,,25.36
4.2,2536,,25.36
8,2516,,25.16
8.1,2536,,25.36
10,1102534,,25.34
10.1,2534,,25.34
11,1102532,,25.32
17,2305,,23.05
19.1,2514,,25.14
20,2516,,25.16
20.1,2516,,25.16
20.2,1102536,,25.36
22,1102524,,25.24
23,2523,,25.23
23.2,112523,,25.23
24.2,2525,,25.25
25.2,2526,,25.26
26.2,1102526,,25.26
28.2,1102523,,25.23
31.2,2523,,25.23
32,2525,,25.25
32.2,2525,,25.25
33.2,1102524,,25.24
36,1102532,,25.32
36.1,2532,,25.32
36.2,2532,,25.32
37,2533,,25.33
39,1102529,,25.29
40,11112526,,25.26
40.1,2526,,25.26
40.2,1102526,,25.26
41,1102522,,25.22
41.2,11112522,,25.22
43,1102513,,25.13
44,2515,,25.15
44.1,1102535,,25.35
44.2,2515,,25.15
47,2516,,25.16
47.1,1102516,,25.16
47.2,1102516,,25.16
50,1102530,,25.3
50.1,1102533,,25.33
50.2,11112534,,25.34
52,11112539,,25.39
52.1,112539,,25.39
52.2,112539,,25.39
54,1102531,,25.31
54.2,1102533,,25.33
55,112531,,25.31
56,2536,,25.36
56.1,1102536,,25.36
56.2,11112536,,25.36
58.1,11112526,,25.26
59.1,1102522,,25.22
59.2,11112522,,25.22
60,1102522,,25.22
60.2,1102542,,25.42
62,112515,,25.15
62.1,1102515,,25.15
62.2,112515,,25.15
68.2,11112523,,25.23
70.1,11112526,,25.26
72.1,112524,,25.24
73,11112539,,25.39
73.1,1102539,,25.39
73.2,11112519,,25.19
74.2,1102522,,25.22
75.2,11112522,,25.22
77,1102533,,25.33
77.2,11112533,,25.33
78,1102524,,25.24
79,11112522,,25.22
82.1,2514,,25.14
82.2,1102514,,25.14
85.2,112522,,25.22
86.2,11112524,,25.24
87,1102529,,25.29
88,11112535,,25.35
88.1,112535,,25.35
88.2,11112535,,25.35
89.1,11112536,,25.36
89.2,112536,,25.36
90,11112535,,25.35
90.1,11112535,,25.35
90.2,1102535,,25.35
91,11112532,,25.32
91.1,11112532,,25.32
91.2,11112532,,25.32
92.2,2524,,25.24
98,1102532,,25.32
98.1,2532,,25.32
98.2,112532,,25.32
99.1,112529,,25.29
99.2,11112529,,25.29
100,112536,,25.36
100.1,1102536,,25.36
100.2,1102536,,25.36
101.2,11112533,,25.33
102,11112536,,25.36
102.1,11112536,,25.36
102.2,11112536,,25.36
104.1,11112533,,25.33
107,11112532,,25.32
107.1,11112532,,25.32
107.2,11112532,,25.32
108.2,1102533,,25.33
109,11112535,,25.35
109.1,112535,,25.35
109.2,11112535,,25.35
111,11112532,,25.32
111.1,1102532,,25.32
111.2,112532,,25.32
112,11112530,,25.3
113,11112533,,25.33
114,1102532,,25.32
114.1,1102532,,25.32
114.2,1102532,,25.32
117,11112524,,25.24
119,1102525,,25.25
119.1,112525,,25.25
119.2,11112525,,25.25
120,112525,,25.25
120.1,11112525,,25.25
120.2,112525,,25.25
122,11112529,,25.29
124.1,11112523,,25.23
125,11112533,,25.33
125.1,11112533,,25.33
126.1,112534,,25.34
127,11112535,,25.35
127.1,11112535,,25.35
130,11112635,,26.35
130.1,112535,,25.35
130.2,112535,,25.35
131,112636,,26.36
131.1,112536,,25.36
131.2,2536,,25.36
136.1,11112544,,25.44
136.2,11112544,,25.44
138,1102542,,25.42
138.1,11112542,,25.42
139.1,11112541,,25.41
140,11112546,,25.46
140.1,112546,,25.46
140.2,2546,,25.46
141.1,11112543,,25.43
141.2,11112543,,25.43
142.1,2543,,25.43
145,11112533,,25.33
145.2,112533,,25.33
146,1102539,,25.39
146.1,1102539,,25.39
146.2,112539,,25.39
148.1,1102534,,25.34
150,112532,,25.32
150.1,11112532,,25.32
150.2,112532,,25.32
151,112532,,25.32
151.1,11112532,,25.32
151.2,112532,,25.32
152,11112526,,25.26
153,2532,,25.32
153.1,11112532,,25.32
153.2,112532,,25.32
154.1,2529,,25.29
155,11112534,,25.34
155.1,2534,,25.34
156.1,112536,,25.36
