frame,predicted_digit,,last_4_digits
1,2495,,24.95
1.2,2495,,24.95
2,112495,,24.95
2.1,112495,,24.95
2.2,1102495,,24.95
3,112496,,24.96
3.1,1102496,,24.96
4,1102498,,24.98
4.1,2498,,24.98
4.2,2498,,24.98
5.1,11112498,,24.98
5.2,2498,,24.98
6,2501,,25.01
6.1,1102501,,25.01
7,1102502,,25.02
7.1,1102502,,25.02
7.2,1102502,,25.02
8,1102504,,25.04
8.1,11112504,,25.04
8.2,112504,,25.04
9,11112505,,25.05
9.1,1102505,,25.05
9.2,2505,,25.05
10,112502,,25.02
10.1,1102502,,25.02
10.2,1102502,,25.02
13,2503,,25.03
13.1,1102503,,25.03
13.2,1102503,,25.03
14,11112499,,24.99
14.1,112499,,24.99
14.2,2499,,24.99
15,1102499,,24.99
15.1,2499,,24.99
15.2,11112499,,24.99
16,1102496,,24.96
16.1,11112496,,24.96
17.2,1102490,,24.9
18,1102493,,24.93
18.1,1102493,,24.93
19,1102495,,24.95
19.1,11112495,,24.95
19.2,2495,,24.95
20,112494,,24.94
20.1,112494,,24.94
20.2,11112494,,24.94
22,1102488,,24.88
22.1,112488,,24.88
23,11112484,,24.84
23.1,1102484,,24.84
23.2,1102484,,24.84
24,1102489,,24.89
24.2,11112489,,24.89
25,2493,,24.93
25.1,1102493,,24.93
25.2,1102493,,24.93
26.1,2495,,24.95
26.2,1102495,,24.95
27,11112494,,24.94
27.1,11112494,,24.94
27.2,11112494,,24.94
28,11112500,,25
29.2,1102506,,25.06
30,1102512,,25.12
30.1,11112512,,25.12
30.2,1102512,,25.12
31.1,11112515,,25.15
31.2,2515,,25.15
32.1,1102513,,25.13
32.2,1102513,,25.13
33,1102506,,25.06
33.1,2506,,25.06
34,1102502,,25.02
34.1,1102502,,25.02
34.2,2502,,25.02
35.1,2501,,25.01
35.2,1102503,,25.03
37,1102493,,24.93
37.1,1102493,,24.93
37.2,11112493,,24.93
38,1102489,,24.89
38.2,1102489,,24.89
40,112488,,24.88
40.2,1102488,,24.88
41,1102495,,24.95
41.1,1102495,,24.95
41.2,112495,,24.95
42.2,1102493,,24.93
43.1,2491,,24.91
44,2495,,24.95
44.2,1102495,,24.95
45,1102492,,24.92
45.1,2492,,24.92
45.2,1102492,,24.92
46.1,2491,,24.91
46.2,1102491,,24.91
47,1102492,,24.92
47.1,11112492,,24.92
47.2,1102492,,24.92
48,11112488,,24.88
48.1,11112588,,25.88
49,1102484,,24.84
49.1,2484,,24.84
49.2,112484,,24.84
50,11112481,,24.81
50.2,11112481,,24.81
51,11112488,,24.88
51.1,1102488,,24.88
52.1,1102490,,24.9
53,11112494,,24.94
53.1,11112494,,24.94
53.2,1102494,,24.94
54,1102496,,24.96
54.1,1102496,,24.96
54.2,2496,,24.96
55,1102498,,24.98
55.1,11112498,,24.98
55.2,2498,,24.98
56,2499,,24.99
56.1,11112499,,24.99
56.2,1102499,,24.99
57.1,1102502,,25.02
57.2,1102502,,25.02
58,2503,,25.03
58.1,2503,,25.03
60,11112498,,24.98
60.2,1102498,,24.98
61,1102499,,24.99
61.1,112499,,24.99
63.1,11112494,,24.94
63.2,2494,,24.94
64,1102487,,24.87
64.1,1102483,,24.83
65,2483,,24.83
65.2,1102483,,24.83
66,11112485,,24.85
66.1,2485,,24.85
66.2,11112485,,24.85
67,1102485,,24.85
67.1,11112485,,24.85
67.2,1102485,,24.85
68,11112483,,24.83
69,112482,,24.82
69.1,112482,,24.82
69.2,11112482,,24.82
70,2482,,24.82
70.1,112482,,24.82
70.2,11112482,,24.82
71,1102483,,24.83
71.1,1102483,,24.83
71.2,2483,,24.83
72.1,1102491,,24.91
72.2,2491,,24.91
73,1102492,,24.92
73.1,11112492,,24.92
73.2,112492,,24.92
74.2,112483,,24.83
76,11112484,,24.84
76.1,1102464,,24.64
76.2,112484,,24.84
77.2,1102480,,24.8
78,2484,,24.84
78.1,11112484,,24.84
78.2,11112484,,24.84
79.1,11112488,,24.88
79.2,112488,,24.88
80.2,1102486,,24.86
81,1102468,,24.68
81.1,1102488,,24.88
82,1102496,,24.96
82.1,1102496,,24.96
82.2,1102496,,24.96
83,1102501,,25.01
83.1,1102501,,25.01
83.2,11112501,,25.01
84,11112505,,25.05
84.1,112505,,25.05
84.2,2505,,25.05
87.1,11112511,,25.11
88,2511,,25.11
89,1102511,,25.11
90,1102508,,25.08
91,112504,,25.04
91.1,1102504,,25.04
92,112502,,25.02
92.1,11112502,,25.02
92.2,1102502,,25.02
94,1102499,,24.99
94.1,1102499,,24.99
94.2,11112499,,24.99
95,11112495,,24.95
95.1,1102495,,24.95
95.2,11112495,,24.95
96,1102595,,25.95
96.1,1102495,,24.95
96.2,2495,,24.95
97.1,1102496,,24.96
97.2,112496,,24.96
98,1102492,,24.92
98.1,11112492,,24.92
98.2,11112492,,24.92
99,11112488,,24.88
99.1,2488,,24.88
100,1102492,,24.92
100.1,2492,,24.92
100.2,1102492,,24.92
101,2492,,24.92
101.1,11112492,,24.92
102,1102496,,24.96
102.1,1102496,,24.96
102.2,1102496,,24.96
103,1102502,,25.02
103.1,112502,,25.02
103.2,2502,,25.02
104,9112505,,25.05
104.1,4112505,,25.05
104.2,1102505,,25.05
105,11112506,,25.06
105.1,11112506,,25.06
105.2,1102506,,25.06
106,1102515,,25.15
106.1,11112525,,25.25
106.2,11112515,,25.15
107,112519,,25.19
107.1,11112519,,25.19
107.2,2519,,25.19
108,1102518,,25.18
108.1,2518,,25.18
108.2,1102518,,25.18
109.2,11112511,,25.11
110.1,112513,,25.13
110.2,2513,,25.13
112,11112506,,25.06
113,11112503,,25.03
114.1,11112498,,24.98
114.2,112498,,24.98
115.1,2492,,24.92
115.2,1102492,,24.92
117,2493,,24.93
117.1,11112493,,24.93
118,11112495,,24.95
118.1,1102495,,24.95
118.2,1102495,,24.95
119,2491,,24.91
119.1,1102493,,24.93
120,11112496,,24.96
120.1,1102496,,24.96
120.2,1102496,,24.96
121,2493,,24.93
121.1,1102493,,24.93
122.1,11112495,,24.95
122.2,2495,,24.95
123,1102504,,25.04
123.1,11112504,,25.04
123.2,2504,,25.04
124,2505,,25.05
124.1,2505,,25.05
124.2,1102505,,25.05
125,1102508,,25.08
125.1,1102508,,25.08
125.2,1102508,,25.08
126,11112506,,25.06
126.1,2506,,25.06
126.2,112506,,25.06
127,2505,,25.05
127.1,1102505,,25.05
127.2,2505,,25.05
128.1,112504,,25.04
128.2,2504,,25.04
129,11112501,,25.01
130.2,1102501,,25.01
132,1102515,,25.15
132.1,1182515,,25.15
132.2,11112515,,25.15
133,1102509,,25.09
133.1,2509,,25.09
133.2,2509,,25.09
134,1102509,,25.09
134.1,1102509,,25.09
134.2,1102509,,25.09
135,11112512,,25.12
135.1,1102512,,25.12
135.2,1102512,,25.12
136.2,2503,,25.03
137.1,2503,,25.03
138,1102505,,25.05
138.1,1102505,,25.05
138.2,11112505,,25.05
139,11112503,,25.03
139.1,11112503,,25.03
139.2,1102503,,25.03
142,1102506,,25.06
142.1,112506,,25.06
142.2,1102506,,25.06
144.1,1102515,,25.15
144.2,2515,,25.15
145.1,1102513,,25.13
146,2506,,25.06
146.1,1102506,,25.06
146.2,1102506,,25.06
147,1102504,,25.04
147.1,1102504,,25.04
147.2,1102504,,25.04
148,1102509,,25.09
148.1,2509,,25.09
148.2,11112509,,25.09
149,1102504,,25.04
149.1,2504,,25.04
149.2,1102504,,25.04
151.1,1102494,,24.94
151.2,11112494,,24.94
152,1102493,,24.93
152.2,11112491,,24.91
153,2492,,24.92
153.1,11112492,,24.92
154,1102496,,24.96
154.1,1102496,,24.96
154.2,112496,,24.96
155,1102499,,24.99
155.1,2499,,24.99
155.2,11112499,,24.99
156,11112498,,24.98
156.1,2498,,24.98
156.2,1102498,,24.98
157,1102499,,24.99
157.1,112499,,24.99
157.2,112499,,24.99
158,2499,,24.99
158.1,2499,,24.99
158.2,82499,,24.99
159.1,112501,,25.01
160.2,2499,,24.99
161,112504,,25.04
161.1,112504,,25.04
161.2,11112504,,25.04
162.1,1102499,,24.99
162.2,11112499,,24.99
163,1102498,,24.98
163.1,1102498,,24.98
163.2,6112458,,24.58
164,11112493,,24.93
164.2,11112493,,24.93
165,11112488,,24.88
165.1,11112488,,24.88
165.2,11112488,,24.88
167,2488,,24.88
167.1,1102488,,24.88
167.2,112488,,24.88
168,1102482,,24.82
168.1,1102482,,24.82
168.2,11112482,,24.82
169.2,2484,,24.84
170.1,1102489,,24.89
170.2,2489,,24.89
171.1,112483,,24.83
171.2,2483,,24.83
173.2,2493,,24.93
174,2496,,24.96
174.1,11112496,,24.96
174.2,1102496,,24.96
175,112501,,25.01
176,1102506,,25.06
176.1,2506,,25.06
176.2,1102506,,25.06
177,1102504,,25.04
177.1,112504,,25.04
177.2,112504,,25.04
178.1,2505,,25.05
178.2,1102505,,25.05
179,112510,,25.1
180,1102503,,25.03
180.1,1102503,,25.03
180.2,2503,,25.03
181,1102505,,25.05
181.1,112505,,25.05
181.2,1102505,,25.05
182,2506,,25.06
182.1,2506,,25.06
182.2,11112506,,25.06
183,2505,,25.05
183.1,1102505,,25.05
183.2,1102505,,25.05
184.1,11112503,,25.03
185,11112506,,25.06
185.1,112506,,25.06
185.2,2506,,25.06
186,1102498,,24.98
186.1,1192498,,24.98
186.2,2498,,24.98
187.2,1102496,,24.96
188,11112495,,24.95
188.1,2595,,25.95
188.2,11112495,,24.95
189,2489,,24.89
189.1,1102489,,24.89
189.2,11112489,,24.89
190,11112489,,24.89
190.1,1102469,,24.69
190.2,112489,,24.89
191,1102491,,24.91
191.1,2491,,24.91
193,112495,,24.95
193.1,1102495,,24.95
194.1,1102499,,24.99
196,1102502,,25.02
196.1,1102502,,25.02
196.2,1102502,,25.02
197,1102504,,25.04
197.1,2504,,25.04
197.2,2504,,25.04
198,112504,,25.04
198.1,11112504,,25.04
198.2,11112504,,25.04
201.1,2503,,25.03
202,1102504,,25.04
202.1,2504,,25.04
202.2,11112504,,25.04
203,11112504,,25.04
203.1,2504,,25.04
203.2,2504,,25.04
204,2504,,25.04
204.1,602504,,25.04
204.2,1102504,,25.04
205.1,11112506,,25.06
205.2,1102506,,25.06
206,2506,,25.06
206.1,2506,,25.06
206.2,2506,,25.06
207,2455,,24.55
207.1,2495,,24.95
208,112499,,24.99
208.1,112489,,24.89
208.2,1102489,,24.89
209,2492,,24.92
209.1,2492,,24.92
209.2,2492,,24.92
210,1102492,,24.92
210.1,2492,,24.92
210.2,11112492,,24.92
211,112489,,24.89
211.1,2489,,24.89
211.2,2489,,24.89
212,2490,,24.9
212.2,112490,,24.9
213.2,2489,,24.89
214.1,1102483,,24.83
214.2,2483,,24.83
215,2495,,24.95
215.1,1102495,,24.95
218,2494,,24.94
218.1,11112494,,24.94
218.2,1102494,,24.94
219,2495,,24.95
219.1,2495,,24.95
219.2,11112495,,24.95
220,2490,,24.9
221.1,2486,,24.86
221.2,1182486,,24.86
222,11112482,,24.82
222.1,602482,,24.82
222.2,2582,,25.82
223,2483,,24.83
223.1,11112483,,24.83
223.2,1102483,,24.83
225,2479,,24.79
225.2,2479,,24.79
226,2482,,24.82
226.1,2482,,24.82
226.2,1102382,,23.82
227,2486,,24.86
227.1,11112486,,24.86
227.2,11112486,,24.86
228.1,2490,,24.9
229,6112495,,24.95
229.1,2495,,24.95
229.2,2495,,24.95
231.1,1102494,,24.94
231.2,1102494,,24.94
232,11112501,,25.01
232.1,11112501,,25.01
233,1102502,,25.02
233.1,2502,,25.02
234,2506,,25.06
234.1,1102506,,25.06
234.2,2506,,25.06
235,1102503,,25.03
235.1,2503,,25.03
236.1,2503,,25.03
236.2,2503,,25.03
237.1,1102500,,25
238,2502,,25.02
238.1,2502,,25.02
238.2,112502,,25.02
239,2506,,25.06
239.1,1102506,,25.06
239.2,112506,,25.06
240,11112598,,25.98
241.1,11112499,,24.99
241.2,1102493,,24.93
242,11112495,,24.95
242.1,2495,,24.95
242.2,112495,,24.95
243,11112498,,24.98
243.1,112498,,24.98
243.2,112498,,24.98
244.1,1182499,,24.99
244.2,1102499,,24.99
245.1,2499,,24.99
245.2,1102499,,24.99
246,112496,,24.96
246.1,2496,,24.96
246.2,2496,,24.96
247,2492,,24.92
247.1,112492,,24.92
247.2,1102492,,24.92
248,2498,,24.98
248.1,112498,,24.98
250,2494,,24.94
251,112394,,23.94
251.1,2454,,24.54
252,2493,,24.93
253,2495,,24.95
253.1,2495,,24.95
253.2,2495,,24.95
254,112996,,29.96
254.2,11112496,,24.96
256,112490,,24.9
256.1,11112490,,24.9
257.1,11112490,,24.9
257.2,2490,,24.9
258,2494,,24.94
258.1,2494,,24.94
258.2,82494,,24.94
260,1102498,,24.98
260.1,1102498,,24.98
260.2,2498,,24.98
261,1102493,,24.93
261.1,1102493,,24.93
263,2496,,24.96
263.2,112496,,24.96
264.2,11112501,,25.01
266.2,112511,,25.11
267.1,1102511,,25.11
268,2512,,25.12
268.2,112512,,25.12
269.1,11112515,,25.15
270,112515,,25.15
270.1,1102515,,25.15
270.2,1102515,,25.15
271.1,11112515,,25.15
271.2,2515,,25.15
274.1,11112499,,24.99
275.1,1102596,,25.96
275.2,1102496,,24.96
276,2498,,24.98
277,2499,,24.99
279,2496,,24.96
279.1,1102496,,24.96
279.2,2496,,24.96
282.1,1102494,,24.94
282.2,11112494,,24.94
283,11112498,,24.98
284,11112493,,24.93
284.1,112493,,24.93
286,11112498,,24.98
286.1,11112498,,24.98
287,2502,,25.02
287.1,112502,,25.02
287.2,112502,,25.02
288,1102503,,25.03
288.1,11112503,,25.03
289.2,11112508,,25.08
290,11112509,,25.09
290.1,11112509,,25.09
290.2,11112509,,25.09
292.1,1142511,,25.11
294,1102502,,25.02
294.1,11112502,,25.02
294.2,112502,,25.02
296.1,1102493,,24.93
296.2,11112493,,24.93
298,112492,,24.92
298.2,2492,,24.92
300,2484,,24.84
300.2,1102484,,24.84
301,112483,,24.83
302,112484,,24.84
302.2,1102484,,24.84
303,11112486,,24.86
305,112491,,24.91
307,2492,,24.92
307.1,112492,,24.92
307.2,2492,,24.92
308,2496,,24.96
308.1,11112496,,24.96
312,11112505,,25.05
312.1,11112505,,25.05
312.2,2505,,25.05
313,112506,,25.06
313.2,2506,,25.06
314,2506,,25.06
314.1,112506,,25.06
314.2,112506,,25.06
315,1102504,,25.04
315.2,1102501,,25.01
316,2502,,25.02
316.1,112502,,25.02
316.2,11112502,,25.02
319,11112496,,24.96
319.2,2456,,24.56
320,2499,,24.99
320.1,112499,,24.99
320.2,1102499,,24.99
321,2491,,24.91
322,1102495,,24.95
322.1,11112455,,24.55
322.2,11112495,,24.95
323,112494,,24.94
323.1,1102494,,24.94
323.2,2454,,24.54
324,112494,,24.94
324.1,1102494,,24.94
324.2,1102454,,24.54
325,11112495,,24.95
325.1,1102455,,24.55
325.2,11112495,,24.95
326,2489,,24.89
326.1,2469,,24.69
326.2,11112469,,24.69
327.1,2491,,24.91
329.1,1102469,,24.69
329.2,11112489,,24.89
330,11112489,,24.89
330.2,1102489,,24.89
331.1,11112492,,24.92
331.2,112492,,24.92
332,1102494,,24.94
332.1,1102494,,24.94
332.2,11112494,,24.94
333.1,2496,,24.96
333.2,11112496,,24.96
334,11112503,,25.03
334.1,11112503,,25.03
334.2,11112503,,25.03
336,1102493,,24.93
336.2,1102493,,24.93
