frame,predicted_digit,,last_4_digits
1.1,1102502,,25.02
1.2,11112502,,25.02
2,2502,,25.02
2.2,112502,,25.02
3,2502,,25.02
3.1,2501,,25.01
3.2,2501,,25.01
4,2501,,25.01
4.2,2596,,25.96
7,1102493,,24.93
7.1,82493,,24.93
9.1,2496,,24.96
14,112592,,25.92
14.2,2496,,24.96
18.1,2491,,24.91
19.2,2505,,25.05
20,2505,,25.05
20.1,112502,,25.02
20.2,2502,,25.02
21.2,112501,,25.01
22,1102501,,25.01
26.1,2481,,24.81
26.2,82481,,24.81
28.1,2584,,25.84
34.1,2505,,25.05
34.2,2505,,25.05
35,2505,,25.05
35.1,1182510,,25.1
36,82510,,25.1
36.1,2504,,25.04
36.2,2504,,25.04
37,2504,,25.04
37.1,1102508,,25.08
38.2,112503,,25.03
39.2,1102491,,24.91
40,2497,,24.97
41.1,2492,,24.92
42,112592,,25.92
44.1,1102504,,25.04
44.2,112504,,25.04
45.1,2504,,25.04
45.2,2504,,25.04
46,11112504,,25.04
46.2,112501,,25.01
48.1,112493,,24.93
49.2,11112593,,25.93
50.2,2495,,24.95
52,112493,,24.93
53.1,2493,,24.93
54.2,2495,,24.95
56,2495,,24.95
57.2,1102501,,25.01
58,2501,,25.01
65,2495,,24.95
67,2489,,24.89
68,112481,,24.81
70.1,2476,,24.76
72,2481,,24.81
72.2,112481,,24.81
73.1,2464,,24.64
76,2482,,24.82
77.2,2493,,24.93
78.1,112496,,24.96
78.2,112496,,24.96
80.2,112508,,25.08
81.2,2502,,25.02
82,2502,,25.02
82.2,2504,,25.04
83,2504,,25.04
84,2504,,25.04
84.2,11112508,,25.08
85,2508,,25.08
85.1,2508,,25.08
85.2,1102508,,25.08
86,2500,,25
86.1,11112504,,25.04
86.2,2504,,25.04
87,112504,,25.04
88,112518,,25.18
88.1,2513,,25.13
88.2,112513,,25.13
89,2513,,25.13
89.1,2509,,25.09
90,2509,,25.09
90.1,112505,,25.05
91.2,1112506,,25.06
92,102506,,25.06
92.1,2508,,25.08
93,2508,,25.08
93.2,2501,,25.01
94,2501,,25.01
94.1,2510,,25.1
95.1,2506,,25.06
95.2,2506,,25.06
96,1102506,,25.06
97,2498,,24.98
97.1,2503,,25.03
98,112503,,25.03
98.2,2501,,25.01
100.2,2446,,24.46
102.1,2592,,25.92
102.2,2592,,25.92
103.1,2491,,24.91
103.2,2491,,24.91
104.1,2436,,24.36
107,1102493,,24.93
107.1,2508,,25.08
108,2500,,25
114.1,2585,,25.85
114.2,82585,,25.85
122.2,2585,,25.85
123.1,2488,,24.88
125.1,112491,,24.91
126.1,2480,,24.8
129.2,2491,,24.91
130.1,112501,,25.01
130.2,2501,,25.01
131.1,2504,,25.04
131.2,112504,,25.04
132,2504,,25.04
133.2,112501,,25.01
134,2501,,25.01
134.2,2501,,25.01
135,2501,,25.01
136,2506,,25.06
136.2,2503,,25.03
137,2503,,25.03
137.1,112513,,25.13
137.2,2513,,25.13
138.1,2509,,25.09
138.2,2509,,25.09
139.2,1102503,,25.03
140,112503,,25.03
140.2,2504,,25.04
141,112504,,25.04
141.2,2504,,25.04
142,2504,,25.04
142.1,2506,,25.06
142.2,2506,,25.06
143,2506,,25.06
143.1,2502,,25.02
143.2,2502,,25.02
144,2502,,25.02
144.1,2502,,25.02
144.2,2502,,25.02
145,2502,,25.02
145.1,2491,,24.91
146,2491,,24.91
147.1,112493,,24.93
150.2,2584,,25.84
152.2,2475,,24.75
153,2475,,24.75
153.2,1102084,,20.84
154.1,1102581,,25.81
157.1,2584,,25.84
159.1,2491,,24.91
162,1102501,,25.01
162.1,1102494,,24.94
164,2501,,25.01
166.2,2502,,25.02
179.1,2497,,24.97
182.2,2503,,25.03
183.1,2501,,25.01
183.2,2501,,25.01
185.1,2502,,25.02
186,1102502,,25.02
188.2,2505,,25.05
189,1102505,,25.05
190.1,2503,,25.03
191,2501,,25.01
200,1102507,,25.07
226.1,1102490,,24.9
229,112491,,24.91
230.1,2490,,24.9
231,2490,,24.9
235.2,1102590,,25.9
252.2,2503,,25.03
253,2503,,25.03
254.2,2503,,25.03
260.1,2500,,25
260.2,2500,,25
262.2,2502,,25.02
263,1102502,,25.02
265.1,2503,,25.03
266.1,1102507,,25.07
268,2504,,25.04
269,2507,,25.07
270.2,2506,,25.06
271.2,2506,,25.06
272.2,1102502,,25.02
273,2502,,25.02
275.1,2509,,25.09
278.2,1102502,,25.02
279.1,2502,,25.02
285,2505,,25.05
287.1,2501,,25.01
288,2501,,25.01
288.1,112501,,25.01
288.2,2501,,25.01
294.1,1102504,,25.04
294.2,1102504,,25.04
