frame,predicted_digit,,last_4_digits
1,2503,,25.03
1.1,2503,,25.03
1.2,1102502,,25.02
2,2502,,25.02
2.1,2504,,25.04
2.2,11112504,,25.04
3,2504,,25.04
3.1,2502,,25.02
3.2,2502,,25.02
4.1,2504,,25.04
4.2,2504,,25.04
5,1102504,,25.04
5.1,2506,,25.06
5.2,1102506,,25.06
6,11112506,,25.06
6.1,1102504,,25.04
6.2,11112503,,25.03
7.1,2509,,25.09
7.2,2509,,25.09
8,2509,,25.09
9.1,1102505,,25.05
9.2,1102505,,25.05
10,11112505,,25.05
10.2,1102506,,25.06
15.1,1102506,,25.06
15.2,2506,,25.06
16,1102506,,25.06
16.1,2508,,25.08
18,2506,,25.06
18.1,11112505,,25.05
18.2,1102505,,25.05
19,2505,,25.05
20.2,112502,,25.02
21.1,2502,,25.02
21.2,1102502,,25.02
22.1,2502,,25.02
22.2,2502,,25.02
23,2502,,25.02
23.1,2505,,25.05
23.2,2505,,25.05
24,112505,,25.05
24.1,1102504,,25.04
24.2,1102504,,25.04
25.1,2506,,25.06
25.2,1102506,,25.06
27.1,2514,,25.14
28,2514,,25.14
30.2,2505,,25.05
31,2505,,25.05
31.1,902504,,25.04
31.2,2504,,25.04
32,1102504,,25.04
32.1,2502,,25.02
32.2,1102502,,25.02
33,1102502,,25.02
33.1,1102495,,24.95
35.1,1102489,,24.89
36,1102389,,23.89
36.1,2389,,23.89
37,2489,,24.89
37.1,2495,,24.95
37.2,2495,,24.95
38,2495,,24.95
40,2502,,25.02
40.1,11112505,,25.05
40.2,1102505,,25.05
41,2505,,25.05
43.1,1102509,,25.09
43.2,1102509,,25.09
44,2509,,25.09
45,1102511,,25.11
45.1,1102499,,24.99
45.2,1102499,,24.99
46,112499,,24.99
46.1,2497,,24.97
47.1,1102492,,24.92
47.2,1102492,,24.92
48,2492,,24.92
50,2485,,24.85
50.1,2485,,24.85
51.1,1102493,,24.93
52,2493,,24.93
54,1102500,,25
54.1,2502,,25.02
54.2,11112502,,25.02
55.1,2505,,25.05
55.2,1102505,,25.05
56,112505,,25.05
56.1,1102505,,25.05
56.2,1102505,,25.05
57,1102505,,25.05
57.1,2509,,25.09
57.2,1102509,,25.09
58,2509,,25.09
58.1,2509,,25.09
58.2,1102509,,25.09
59,2509,,25.09
61,1102499,,24.99
63,2500,,25
63.2,2501,,25.01
64.1,2506,,25.06
64.2,2506,,25.06
65,2506,,25.06
65.1,1102505,,25.05
65.2,2505,,25.05
66,1102505,,25.05
66.1,2504,,25.04
67,2504,,25.04
67.1,2505,,25.05
