frame,predicted_digit,,last_4_digits
1,2518,,25.18
1.1,2522,,25.22
1.2,2522,,25.22
2,2522,,25.22
4.1,2515,,25.15
4.2,2515,,25.15
5,2535,,25.05
6,2639,,25.09
7,2533,,25.03
7.1,2534,,25.04
8,2534,,25.04
9.1,2510,,25.1
10,2530,,25
10.1,2532,,25.02
10.2,2532,,25.02
11,2512,,25.12
11.1,2533,,25.03
12.2,2535,,25.05
13,2535,,25.05
14.1,2518,,25.18
16.2,2523,,25.23
17.1,2525,,25.25
17.2,2526,,25.26
18,2526,,25.26
18.1,2526,,25.26
18.2,2526,,25.26
19,2526,,25.26
19.1,2523,,25.23
19.2,2523,,25.23
21.1,2539,,25.09
21.2,2539,,25.09
22.2,2523,,25.23
23.2,2513,,25.13
24.1,2532,,25.02
24.2,2532,,25.02
25,2532,,25.02
25.1,2536,,25.06
25.2,2535,,25.05
26,2536,,25.06
26.1,2535,,25.05
26.2,2515,,25.15
27,2535,,25.05
27.1,2520,,25.2
27.2,2520,,25.2
28,2520,,25.2
28.1,2526,,25.26
28.2,2526,,25.26
29,2526,,25.26
29.2,2533,,25.03
30,2533,,25.03
30.1,2539,,25.09
30.2,2539,,25.09
31,2539,,25.09
31.1,2522,,25.22
31.2,2522,,25.22
32,2522,,25.22
33,2638,,25.08
33.1,2509,,25.09
33.2,2509,,25.09
34,2509,,25.09
34.2,2513,,25.13
35.1,2530,,25
35.2,2530,,25
36,2530,,25
36.1,21105,,25.05
36.2,2505,,25.05
37,2505,,25.05
38,2632,,25.02
38.2,2530,,25
39.1,2506,,25.06
39.2,21105,,25.05
40,2506,,25.06
40.2,2634,,25.04
41,2514,,25.14
42.1,2538,,25.08
43.1,2536,,25.06
43.2,2636,,25.06
44,2536,,25.06
44.1,2539,,25.09
44.2,2539,,25.09
45,2539,,25.09
46.1,2536,,25.06
46.2,2636,,25.06
47,2536,,25.06
47.1,2520,,25.2
47.2,2520,,25.2
48,2520,,25.2
49,2534,,25.04
49.1,2530,,25
49.2,2530,,25
50,2630,,25
50.1,2509,,25.09
50.2,2509,,25.09
51,2509,,25.09
51.1,2503,,25.03
51.2,2503,,25.03
52.1,2506,,25.06
52.2,2506,,25.06
53,2506,,25.06
53.1,2504,,25.04
53.2,2504,,25.04
54,21104,,25.04
54.1,2498,,24.98
55.1,2502,,25.02
55.2,21102,,25.02
56,2502,,25.02
56.1,2506,,25.06
56.2,2506,,25.06
57,2506,,25.06
57.1,2506,,25.06
57.2,2506,,25.06
58,2506,,25.06
58.1,2515,,25.15
58.2,2515,,25.15
59,2515,,25.15
60,2513,,25.13
60.1,2513,,25.13
60.2,2513,,25.13
61.1,2520,,25.2
61.2,2520,,25.2
62.1,2529,,25.29
62.2,2529,,25.29
63,2529,,25.29
63.1,2523,,25.23
64,2523,,25.23
64.1,2524,,25.24
64.2,2524,,25.24
65,2524,,25.24
66,2528,,25.28
66.1,2523,,25.23
66.2,2523,,25.23
67,2523,,25.23
67.1,2522,,25.22
67.2,2522,,25.22
68,2522,,25.22
68.1,2525,,25.25
68.2,2525,,25.25
69,2525,,25.25
69.1,2629,,25.29
69.2,2529,,25.29
70,2529,,25.29
70.1,2520,,25.2
70.2,2520,,25.2
71,2520,,25.2
71.1,2518,,25.18
72,2518,,25.18
72.2,2520,,25.2
73,2520,,25.2
74.1,2523,,25.23
75,2523,,25.23
75.1,2524,,25.24
76,2524,,25.24
76.1,2520,,25.2
76.2,2520,,25.2
77,2520,,25.2
77.1,2521,,25.21
81.2,2530,,25
82,2530,,25
82.1,2530,,25
82.2,2524,,25.24
83,2524,,25.24
83.1,2524,,25.24
83.2,2506,,25.06
84,2506,,25.06
84.1,2506,,25.06
84.2,2506,,25.06
85,2506,,25.06
85.1,2506,,25.06
85.2,2495,,24.95
86,2495,,24.95
86.1,2495,,24.95
86.2,2495,,24.95
87,2495,,24.95
87.1,2495,,24.95
87.2,21199,,24.99
88,21199,,24.99
88.1,21199,,24.99
89.1,2500,,25
89.2,21103,,25.03
90,21103,,25.03
90.1,2603,,25.03
90.2,21103,,25.03
91,21103,,25.03
92,2532,,25.02
92.1,2532,,25.02
92.2,2613,,25.13
93,2633,,25.03
93.1,2533,,25.03
94,11524,,25.24
94.2,2524,,25.24
95,2524,,25.24
95.1,2524,,25.24
95.2,2522,,25.22
96,2522,,25.22
96.1,2522,,25.22
96.2,2520,,25.2
97.1,2520,,25.2
98.2,2522,,25.22
99,2522,,25.22
99.1,2522,,25.22
100,2518,,25.18
100.2,2532,,25.02
101,2532,,25.02
101.1,2532,,25.02
102.2,2536,,25.06
103,2536,,25.06
103.1,11536,,25.06
107.1,2533,,25.03
108.2,2520,,25.2
109.1,2520,,25.2
110,21135,,25.05
110.2,2532,,25.02
111,2532,,25.02
111.1,2532,,25.02
112,21133,,25.03
112.1,2513,,25.13
112.2,2535,,25.05
113.2,2519,,25.19
114.1,2539,,25.09
115.1,2539,,25.09
115.2,2520,,25.2
116,2520,,25.2
116.1,2620,,25.2
117.2,2520,,25.2
118,2520,,25.2
118.1,2520,,25.2
119.2,21123,,25.23
120,2524,,25.24
120.1,2524,,25.24
120.2,2535,,25.05
121,2535,,25.05
121.2,2535,,25.05
122,2535,,25.05
124,2515,,25.15
124.1,2535,,25.05
125.2,2530,,25
126.2,2532,,25.02
127,2532,,25.02
127.1,2632,,25.02
129.2,2509,,25.09
130,21109,,25.09
130.1,21109,,25.09
131.1,2530,,25
131.2,2506,,25.06
132,21106,,25.06
132.1,2505,,25.05
132.2,2630,,25
133,2530,,25
133.1,2530,,25
134.2,2509,,25.09
135,21109,,25.09
135.1,2509,,25.09
135.2,2630,,25
136,2530,,25
136.1,2630,,25
136.2,21106,,25.06
137,21106,,25.06
137.1,2506,,25.06
137.2,21103,,25.03
138,21103,,25.03
138.1,21103,,25.03
138.2,2613,,25.13
140,2636,,25.06
140.2,21109,,25.09
141,21109,,25.09
141.1,2509,,25.09
141.2,21105,,25.05
142,21105,,25.05
142.1,2605,,25.05
142.2,21103,,25.03
143.1,2509,,25.09
144.2,2530,,25
145,2530,,25
145.1,2630,,25
147.2,21199,,24.99
148,2499,,24.99
148.1,21199,,24.99
149.2,2532,,25.02
150,2532,,25.02
150.1,2632,,25.02
150.2,2533,,25.03
151.2,2513,,25.13
152.1,2513,,25.13
152.2,2535,,25.05
154.2,2539,,25.09
155.1,2539,,25.09
156.1,2523,,25.23
156.2,2523,,25.23
157,2523,,25.23
157.1,2623,,25.23
157.2,2523,,25.23
158,2523,,25.23
158.1,2523,,25.23
158.2,11633,,25.03
159.2,2612,,25.12
160,2532,,25.02
160.1,2632,,25.02
161.2,2633,,25.03
162.2,2606,,25.06
163,2506,,25.06
163.1,2606,,25.06
165.1,2506,,25.06
165.2,11606,,25.06
166,2506,,25.06
166.1,2506,,25.06
166.2,2530,,25
167.1,2630,,25
167.2,2606,,25.06
168,2606,,25.06
168.1,111106,,25.06
169,2630,,25
169.2,2532,,25.02
170,2532,,25.02
