frame,predicted_digit,,last_4_digits
1.1,1102531,,25.31
2,11112531,,25.31
2.2,2533,,25.33
3,11112533,,25.33
3.1,1102531,,25.31
3.2,11112531,,25.31
4,2531,,25.31
4.1,2539,,25.39
4.2,1102539,,25.39
5,1102539,,25.39
5.1,112542,,25.42
5.2,112542,,25.42
6,1102542,,25.42
6.1,1102549,,25.49
6.2,112549,,25.49
7,11112549,,25.49
7.1,11112550,,25.5
8.1,11112553,,25.53
8.2,1102551,,25.51
9,1102551,,25.51
9.1,2555,,25.55
9.2,11112555,,25.55
10,1102555,,25.55
10.1,2556,,25.56
10.2,1102556,,25.56
11,1102556,,25.56
11.1,1102554,,25.54
11.2,2554,,25.54
12,1102554,,25.54
12.1,2554,,25.54
12.2,1102554,,25.54
13,112554,,25.54
13.1,1102549,,25.49
13.2,1102549,,25.49
14,1102549,,25.49
14.1,2544,,25.44
14.2,112544,,25.44
15,11112544,,25.44
15.1,2544,,25.44
15.2,11112544,,25.44
16,1102544,,25.44
16.1,1102542,,25.42
16.2,11112542,,25.42
17,2542,,25.42
17.2,2541,,25.41
18,1102549,,25.49
18.1,1102548,,25.48
18.2,2548,,25.48
19,1102548,,25.48
19.1,11112543,,25.43
19.2,1102543,,25.43
20,2543,,25.43
20.1,1102544,,25.44
20.2,1102544,,25.44
21,11112544,,25.44
21.1,1102549,,25.49
21.2,11112549,,25.49
22,11112549,,25.49
22.1,1102544,,25.44
22.2,112544,,25.44
23,1102544,,25.44
23.1,11112543,,25.43
23.2,11112543,,25.43
24,1102543,,25.43
24.1,1102544,,25.44
24.2,2544,,25.44
25,2544,,25.44
25.1,2534,,25.34
25.2,1102534,,25.34
26,112534,,25.34
26.2,112533,,25.33
27,112533,,25.33
27.2,112530,,25.3
28.1,2528,,25.28
29,1102528,,25.28
29.1,11112524,,25.24
29.2,1102524,,25.24
30,1102524,,25.24
30.1,112524,,25.24
30.2,1102524,,25.24
31,11112524,,25.24
31.1,1102522,,25.22
31.2,1102522,,25.22
32,1102522,,25.22
32.1,1102518,,25.18
32.2,112518,,25.18
33,1102518,,25.18
33.1,112516,,25.16
33.2,1102516,,25.16
34,1102516,,25.16
34.1,1102524,,25.24
34.2,1102524,,25.24
35,1102524,,25.24
35.1,2521,,25.21
35.2,11112521,,25.21
36,1102521,,25.21
36.1,1102532,,25.32
36.2,1102532,,25.32
37,2532,,25.32
37.1,112534,,25.34
37.2,1102534,,25.34
38,1102534,,25.34
38.1,1102535,,25.35
38.2,2535,,25.35
39,1102535,,25.35
39.1,1102540,,25.4
40.1,2542,,25.42
40.2,1102542,,25.42
41,112542,,25.42
41.1,1102543,,25.43
41.2,1102543,,25.43
42,112543,,25.43
42.1,1102531,,25.31
42.2,2531,,25.31
43,1102531,,25.31
43.1,2532,,25.32
43.2,2532,,25.32
44,1102532,,25.32
44.1,112529,,25.29
44.2,11112529,,25.29
45,2529,,25.29
45.1,11112530,,25.3
46,2530,,25.3
46.1,2528,,25.28
46.2,112528,,25.28
47,11112528,,25.28
47.1,112525,,25.25
47.2,2525,,25.25
48,1102525,,25.25
48.1,1102526,,25.26
48.2,1102526,,25.26
49,11112526,,25.26
49.1,112532,,25.32
49.2,112532,,25.32
50,1102532,,25.32
50.1,1102530,,25.3
51.2,1102530,,25.3
52.1,1102528,,25.28
52.2,11112528,,25.28
53,112528,,25.28
53.1,112529,,25.29
53.2,1102529,,25.29
54,11112529,,25.29
55.1,1102524,,25.24
55.2,1102524,,25.24
56,1102524,,25.24
56.1,11112522,,25.22
56.2,11112522,,25.22
57,2522,,25.22
57.1,1102519,,25.19
57.2,2519,,25.19
58,112519,,25.19
58.1,1102521,,25.21
58.2,112521,,25.21
59.1,2526,,25.26
59.2,112526,,25.26
60,1102526,,25.26
61.1,2525,,25.25
61.2,1102525,,25.25
62,2525,,25.25
62.1,1102529,,25.29
62.2,11112529,,25.29
63,112529,,25.29
63.1,2534,,25.34
63.2,1102534,,25.34
64,2634,,26.34
64.1,1102536,,25.36
64.2,11112536,,25.36
65,1102536,,25.36
65.1,112536,,25.36
65.2,1102536,,25.36
66,2536,,25.36
66.1,112531,,25.31
66.2,2531,,25.31
67,1102531,,25.31
67.1,11112530,,25.3
68.1,1102533,,25.33
68.2,1102533,,25.33
69,112533,,25.33
69.1,112531,,25.31
69.2,112531,,25.31
70,112533,,25.33
70.1,112533,,25.33
70.2,2533,,25.33
71,112533,,25.33
71.2,1102531,,25.31
72,1102531,,25.31
72.1,11112535,,25.35
72.2,2535,,25.35
73,2535,,25.35
73.1,2536,,25.36
73.2,2536,,25.36
74,11112536,,25.36
74.1,112532,,25.32
74.2,1102532,,25.32
75,2532,,25.32
75.1,1102538,,25.38
