frame,predicted_digit,,last_4_digits
1,2461,,24.61
1.1,2463,,24.63
1.2,2463,,24.63
2,2468,,24.68
2.1,2468,,24.68
3,2463,,24.63
3.1,2463,,24.63
3.2,2463,,24.63
4,2460,,24.6
4.1,2460,,24.6
4.2,2460,,24.6
5,2463,,24.63
5.1,2463,,24.63
6,2465,,24.65
6.1,2465,,24.65
6.2,2465,,24.65
7,2466,,24.66
7.1,2466,,24.66
7.2,2466,,24.66
8,2469,,24.69
8.2,21169,,24.69
9,2463,,24.63
9.1,2463,,24.63
10,21166,,24.66
10.1,2465,,24.65
10.2,2466,,24.66
11,2464,,24.64
11.1,2464,,24.64
12.2,2468,,24.68
13,2465,,24.65
13.1,2465,,24.65
13.2,2465,,24.65
14.2,2468,,24.68
15,2462,,24.62
15.1,2462,,24.62
15.2,2462,,24.62
16,2462,,24.62
16.1,2462,,24.62
16.2,2462,,24.62
17.1,2468,,24.68
18,2466,,24.66
18.1,2466,,24.66
18.2,2466,,24.66
19,2465,,24.65
19.1,2465,,24.65
19.2,2465,,24.65
20.1,2465,,24.65
21.1,2469,,24.69
21.2,2469,,24.69
22,2469,,24.69
22.2,2469,,24.69
23,2466,,24.66
23.1,2466,,24.66
23.2,2466,,24.66
24,2465,,24.65
24.1,2465,,24.65
24.2,2465,,24.65
25,2466,,24.66
25.1,21166,,24.66
25.2,2466,,24.66
26,2463,,24.63
26.1,2463,,24.63
26.2,2463,,24.63
29.1,2463,,24.63
29.2,2463,,24.63
30,2463,,24.63
30.1,2463,,24.63
31,2482,,24.82
31.1,2482,,24.82
31.2,2482,,24.82
32,2483,,24.83
32.1,21183,,24.83
33,2486,,24.86
33.2,2486,,24.86
34.1,2488,,24.88
36,2485,,24.85
36.1,2485,,24.85
36.2,2485,,24.85
37,2482,,24.82
37.2,2482,,24.82
39,2483,,24.83
39.1,2483,,24.83
39.2,2483,,24.83
40,2488,,24.88
40.2,2488,,24.88
41,2488,,24.88
41.1,2488,,24.88
41.2,2488,,24.88
42.1,2493,,24.93
42.2,2493,,24.93
43,2484,,24.84
44.1,2489,,24.89
44.2,2489,,24.89
45.2,2484,,24.84
47,2469,,24.69
47.1,2469,,24.69
47.2,2469,,24.69
48,2462,,24.62
48.1,2462,,24.62
48.2,2462,,24.62
50,2462,,24.62
50.1,21162,,24.62
50.2,2462,,24.62
51,2469,,24.69
51.1,2469,,24.69
51.2,2469,,24.69
52,2466,,24.66
52.1,2466,,24.66
52.2,2466,,24.66
53,1102464,,24.64
54,2463,,24.63
55,2466,,24.66
55.1,2466,,24.66
55.2,2466,,24.66
56,2465,,24.65
56.1,2465,,24.65
56.2,2465,,24.65
57,2465,,24.65
57.1,2465,,24.65
57.2,2465,,24.65
58,2463,,24.63
58.1,21183,,24.83
58.2,2483,,24.83
59.1,2484,,24.84
61,2486,,24.86
61.2,2485,,24.85
62.1,2484,,24.84
63.1,2483,,24.83
63.2,2483,,24.83
64.2,2485,,24.85
65,2483,,24.83
65.1,2483,,24.83
65.2,2483,,24.83
66.2,2489,,24.89
67.1,2489,,24.89
67.2,2489,,24.89
69,2486,,24.86
69.1,2486,,24.86
69.2,2486,,24.86
70,2480,,24.8
72,2483,,24.83
74,2488,,24.88
75.1,21188,,24.88
75.2,2488,,24.88
77.2,21180,,24.8
78,2439,,24.89
78.1,2439,,24.89
79,2433,,24.83
79.2,2433,,24.83
82,2466,,24.66
82.1,21166,,24.66
82.2,2466,,24.66
84,2430,,24.8
84.1,2430,,24.8
85,2473,,24.73
85.1,2433,,24.83
85.2,2433,,24.83
86,2432,,24.82
86.1,2432,,24.82
86.2,2432,,24.82
87,2436,,24.86
87.1,2436,,24.86
87.2,2436,,24.86
88,2483,,24.83
88.1,2483,,24.83
88.2,2483,,24.83
89.1,2484,,24.84
89.2,21184,,24.84
90,2483,,24.83
90.2,21183,,24.83
91.1,2490,,24.9
91.2,2490,,24.9
92,2485,,24.85
92.1,2485,,24.85
92.2,21185,,24.85
93,2483,,24.83
93.1,2483,,24.83
93.2,2483,,24.83
94,2483,,24.83
94.2,21183,,24.83
96.1,2483,,24.83
96.2,2483,,24.83
97.1,2488,,24.88
97.2,2488,,24.88
