frame,predicted_digit,,last_4_digits
2,1102469,,24.69
2.1,2469,,24.69
3,1102462,,24.62
3.1,2462,,24.62
3.2,2462,,24.62
4,112459,,24.59
4.1,2459,,24.59
4.2,2459,,24.59
5,2454,,24.54
5.1,2454,,24.54
5.2,2454,,24.54
6.2,2451,,24.51
8,2444,,24.44
8.1,2444,,24.44
9,2448,,24.48
11,2449,,24.49
11.1,2449,,24.49
11.2,2449,,24.49
12,2452,,24.52
12.1,1102452,,24.52
16.1,1102456,,24.56
17,2459,,24.59
17.1,1102459,,24.59
18,2459,,24.59
18.1,2499,,24.99
18.2,2459,,24.59
20,2459,,24.59
20.1,2459,,24.59
20.2,2459,,24.59
30.1,1102479,,24.79
34,112464,,24.64
34.2,2464,,24.64
35,4112464,,24.64
35.1,2464,,24.64
35.2,1102464,,24.64
36,1102464,,24.64
36.1,11112464,,24.64
36.2,1102464,,24.64
39.1,11112472,,24.72
41,11112479,,24.79
41.1,11112479,,24.79
44,2474,,24.74
45,2469,,24.69
45.2,112469,,24.69
46.1,2466,,24.66
46.2,11112466,,24.66
47,1102464,,24.64
47.2,11112464,,24.64
48,1102465,,24.65
48.2,1102465,,24.65
49,1102462,,24.62
49.1,1102462,,24.62
49.2,11112462,,24.62
50.2,1102469,,24.69
51.2,2468,,24.68
54,11112472,,24.72
56,11112468,,24.68
57,2465,,24.65
57.1,2465,,24.65
57.2,112465,,24.65
58,11112469,,24.69
58.1,11112469,,24.69
59.1,11112466,,24.66
59.2,112466,,24.66
61,112462,,24.62
61.1,112462,,24.62
61.2,112462,,24.62
67.2,2469,,24.69
68,1102469,,24.69
68.1,1102469,,24.69
68.2,2469,,24.69
69.1,2465,,24.65
70.1,2462,,24.62
70.2,1102462,,24.62
71,11112459,,24.59
71.1,11112459,,24.59
71.2,1102459,,24.59
72,11112455,,24.55
72.1,1102455,,24.55
72.2,1102455,,24.55
73,11112456,,24.56
73.1,112456,,24.56
73.2,112456,,24.56
75.1,112452,,24.52
75.2,2452,,24.52
78.1,2459,,24.59
83.1,112465,,24.65
83.2,2465,,24.65
86,2459,,24.59
86.1,2459,,24.59
86.2,112459,,24.59
89,112469,,24.69
89.1,2469,,24.69
89.2,1102469,,24.69
91,112476,,24.76
91.1,2476,,24.76
91.2,1192476,,24.76
92.1,2479,,24.79
93,2479,,24.79
93.2,1102479,,24.79
95.1,112475,,24.75
96,2474,,24.74
97,11112472,,24.72
97.1,1102462,,24.62
99,2462,,24.62
99.1,2462,,24.62
99.2,1102462,,24.62
101,11112465,,24.65
101.1,1102465,,24.65
101.2,112465,,24.65
103.1,2468,,24.68
104.1,1102464,,24.64
105.1,11112469,,24.69
105.2,2469,,24.69
108,2469,,24.69
108.1,2469,,24.69
108.2,1102469,,24.69
109,112469,,24.69
109.1,112469,,24.69
110,1102465,,24.65
110.1,1102465,,24.65
110.2,2465,,24.65
111,2459,,24.59
111.1,2459,,24.59
111.2,2459,,24.59
113,1102456,,24.56
113.1,2456,,24.56
114.1,112456,,24.56
115,2454,,24.54
115.2,2454,,24.54
120.2,2474,,24.74
122,112473,,24.73
125,2465,,24.65
125.1,2465,,24.65
125.2,112465,,24.65
127,2465,,24.65
127.1,2465,,24.65
127.2,2465,,24.65
128,2463,,24.63
130,2459,,24.59
130.1,2459,,24.59
130.2,1102459,,24.59
131.2,11112466,,24.66
133.1,2469,,24.69
133.2,2469,,24.69
136,11112469,,24.69
136.1,112469,,24.69
136.2,2469,,24.69
137,2465,,24.65
137.1,2463,,24.63
142,112466,,24.66
143.1,2473,,24.73
144.1,1102465,,24.65
144.2,82465,,24.65
145,1182483,,24.83
147.1,11112482,,24.82
147.2,112482,,24.82
148,82480,,24.8
149,482486,,24.86
150.2,2483,,24.83
153,1102475,,24.75
155.1,11112570,,25.7
156.2,2469,,24.69
157.2,112466,,24.66
159,2462,,24.62
159.1,1182462,,24.62
159.2,1192462,,24.62
160.1,442462,,24.62
160.2,112462,,24.62
161,42464,,24.64
161.1,442469,,24.69
161.2,11112464,,24.64
162,11112465,,24.65
162.1,2465,,24.65
162.2,4112465,,24.65
163,1102465,,24.65
163.1,11112465,,24.65
163.2,2465,,24.65
164,1102462,,24.62
164.1,11112462,,24.62
164.2,2462,,24.62
170,112472,,24.72
170.1,1102472,,24.72
170.2,402422,,24.22
171,4112469,,24.69
171.1,1182469,,24.69
171.2,2469,,24.69
172,4112473,,24.73
174,112462,,24.62
174.1,11112462,,24.62
174.2,11112462,,24.62
178,11112455,,24.55
178.1,4112455,,24.55
179.2,1182453,,24.53
186.2,1102464,,24.64
187.1,2466,,24.66
190,402466,,24.66
190.1,2466,,24.66
191,1182472,,24.72
191.2,2472,,24.72
193.1,11112473,,24.73
194,1182465,,24.65
194.2,11112465,,24.65
199,112449,,24.49
199.2,82449,,24.49
200,4112456,,24.56
200.1,4112456,,24.56
200.2,1102456,,24.56
202,11112465,,24.65
202.1,11112465,,24.65
202.2,1102465,,24.65
208,602466,,24.66
208.2,6112466,,24.66
209.2,11112459,,24.59
211,1102462,,24.62
211.1,1182462,,24.62
211.2,2462,,24.62
213,482459,,24.59
213.1,1182459,,24.59
213.2,11112459,,24.59
216,11112455,,24.55
216.1,2455,,24.55
216.2,2455,,24.55
218,482462,,24.62
218.1,602462,,24.62
218.2,11112462,,24.62
221.2,1102455,,24.55
225.2,112445,,24.45
226,1102445,,24.45
226.1,1182445,,24.45
226.2,42446,,24.46
227,112446,,24.46
231.2,11112453,,24.53
235,602453,,24.53
235.1,1102453,,24.53
235.2,82456,,24.56
236.2,11112459,,24.59
237,112459,,24.59
237.2,6112462,,24.62
238,112462,,24.62
238.1,11112462,,24.62
238.2,1102469,,24.69
239,602464,,24.64
239.1,1102469,,24.69
240.1,602463,,24.63
241,1102463,,24.63
242,11112459,,24.59
243.1,1102462,,24.62
243.2,1102459,,24.59
244,2459,,24.59
245,112496,,24.96
246.2,11112469,,24.69
248,1102466,,24.66
249.1,1102465,,24.65
250,442469,,24.69
250.1,602469,,24.69
250.2,112465,,24.65
251.1,6112465,,24.65
251.2,2463,,24.63
253.2,11112464,,24.64
255.1,602455,,24.55
256,1102451,,24.51
256.2,2453,,24.53
257,2453,,24.53
257.2,11112454,,24.54
258,112454,,24.54
258.2,42452,,24.52
259,1182452,,24.52
259.1,6112452,,24.52
263.1,1102455,,24.55
264.1,11112456,,24.56
264.2,1102459,,24.59
265,2459,,24.59
265.1,1102459,,24.59
266.1,1182455,,24.55
267.2,1102453,,24.53
270,1102456,,24.56
270.2,6112455,,24.55
272,4112453,,24.53
273.2,11112445,,24.45
274.1,1102443,,24.43
275,482449,,24.49
278,1102462,,24.62
278.1,4112462,,24.62
279,6112464,,24.64
280,682465,,24.65
280.1,6112465,,24.65
283.2,2473,,24.73
285,11112476,,24.76
290,112472,,24.72
290.1,6112472,,24.72
291,602463,,24.63
291.1,602469,,24.69
294,6112465,,24.65
294.1,2465,,24.65
296,6112469,,24.69
296.2,6112465,,24.65
297.2,6112466,,24.66
300.1,602465,,24.65
301,6112462,,24.62
301.1,6112462,,24.62
302.1,1102459,,24.59
302.2,1102459,,24.59
303.1,662459,,24.59
305,602453,,24.53
306.2,2453,,24.53
311,602463,,24.63
311.2,602469,,24.69
