frame,predicted_digit,,last_4_digits
1,112510,,25.1
2.1,1102509,,25.09
2.2,11112509,,25.09
3,11112509,,25.09
3.2,1102511,,25.11
5,1102528,,25.28
5.2,2520,,25.2
7.1,112509,,25.09
8,1102509,,25.09
9,1102508,,25.08
9.1,11112512,,25.12
9.2,1102512,,25.12
10,2512,,25.12
11.1,2505,,25.05
11.2,1102505,,25.05
13,1102509,,25.09
13.1,1102514,,25.14
13.2,11112514,,25.14
14.1,1102516,,25.16
14.2,11112516,,25.16
15,1102516,,25.16
15.2,1102521,,25.21
16.1,11112523,,25.23
16.2,1102523,,25.23
17,1102523,,25.23
17.2,112515,,25.15
18,1102515,,25.15
19,2518,,25.18
19.1,1102523,,25.23
19.2,1102523,,25.23
20,1102523,,25.23
20.2,1102523,,25.23
21,11112523,,25.23
21.1,11112514,,25.14
21.2,11112514,,25.14
22,1102514,,25.14
22.1,2506,,25.06
22.2,11112506,,25.06
23,11112506,,25.06
23.1,11112502,,25.02
23.2,11112502,,25.02
24,1102502,,25.02
24.1,1102503,,25.03
25,11112503,,25.03
26.1,11112509,,25.09
27,1102509,,25.09
27.1,11112503,,25.03
27.2,1102503,,25.03
28,2503,,25.03
28.1,1102504,,25.04
29,1102504,,25.04
29.2,1102504,,25.04
30,1102504,,25.04
30.1,11112506,,25.06
31,1102506,,25.06
32.1,112512,,25.12
32.2,11112512,,25.12
33,11112512,,25.12
35.1,1102512,,25.12
35.2,11112512,,25.12
36,11112512,,25.12
37.1,1102514,,25.14
37.2,1102514,,25.14
38,1102514,,25.14
38.2,1102534,,25.34
39.1,11112515,,25.15
39.2,1102515,,25.15
40,11112515,,25.15
41.1,1102523,,25.23
41.2,1102523,,25.23
42,1102523,,25.23
42.2,1102519,,25.19
43,1102519,,25.19
43.1,11112519,,25.19
44.2,11112518,,25.18
45,1102518,,25.18
45.1,1102510,,25.1
46,11112513,,25.13
46.1,11112515,,25.15
46.2,11112515,,25.15
47,1102515,,25.15
47.1,1102511,,25.11
48.1,1102514,,25.14
50.1,112512,,25.12
50.2,1102512,,25.12
51,11112512,,25.12
51.2,1102509,,25.09
52,1102509,,25.09
53,1102513,,25.13
54,112505,,25.05
54.1,11112508,,25.08
54.2,11112508,,25.08
55,11112508,,25.08
55.1,1102409,,24.09
55.2,1102499,,24.99
56,11112499,,24.99
57,11112496,,24.96
58.1,11112502,,25.02
58.2,112502,,25.02
59.1,1102501,,25.01
60.1,112502,,25.02
60.2,11112502,,25.02
61.1,11112506,,25.06
61.2,1102506,,25.06
62,11112506,,25.06
62.2,1102505,,25.05
63,1102505,,25.05
63.1,1102512,,25.12
63.2,11112512,,25.12
64,1102512,,25.12
64.2,11112513,,25.13
65,11112513,,25.13
65.1,11112503,,25.03
65.2,1102509,,25.09
66,2509,,25.09
66.1,1102503,,25.03
69.2,1102489,,24.89
70,11112499,,24.99
71.1,1102502,,25.02
71.2,1102502,,25.02
74,11112509,,25.09
74.2,11112509,,25.09
75,2515,,25.15
76,1102513,,25.13
76.1,11112513,,25.13
77.1,11112514,,25.14
77.2,11112514,,25.14
79,11112505,,25.05
79.2,11112505,,25.05
81,11112508,,25.08
81.2,11112508,,25.08
83,11112509,,25.09
84,11112514,,25.14
84.1,11112514,,25.14
84.2,4112514,,25.14
85,11112513,,25.13
85.1,112513,,25.13
85.2,1102513,,25.13
87.2,11112521,,25.21
88,1102525,,25.25
88.1,11112525,,25.25
88.2,11112525,,25.25
89,11112524,,25.24
89.1,11112524,,25.24
89.2,11112524,,25.24
90,11112522,,25.22
90.1,1102522,,25.22
90.2,1102522,,25.22
91.1,2521,,25.21
92.1,1102519,,25.19
92.2,11112519,,25.19
93,11112522,,25.22
93.1,11112522,,25.22
93.2,1102522,,25.22
94,112511,,25.11
94.2,11112511,,25.11
95,2510,,25.1
95.1,11112521,,25.21
95.2,1102521,,25.21
96,112526,,25.26
96.2,11112526,,25.26
97,11112526,,25.26
97.1,11011526,,15.26
97.2,11112526,,25.26
99,11112532,,25.32
99.1,11112532,,25.32
99.2,1102532,,25.32
100,11112532,,25.32
100.1,11112532,,25.32
100.2,11112532,,25.32
102.1,1102529,,25.29
103,112521,,25.21
103.1,1102521,,25.21
104.2,112511,,25.11
105,1102514,,25.14
105.2,112514,,25.14
106,1102514,,25.14
106.1,1102514,,25.14
106.2,1102513,,25.13
107.2,112513,,25.13
108.2,11112511,,25.11
109.2,11112511,,25.11
110.2,11112508,,25.08
112.2,112511,,25.11
113.1,2516,,25.16
115.1,11112514,,25.14
115.2,11112515,,25.15
116,11112511,,25.11
116.2,11112513,,25.13
117,11112514,,25.14
117.2,111125104,,51.04
119,1102526,,25.26
119.1,2526,,25.26
119.2,11112526,,25.26
120,112526,,25.26
120.1,1102526,,25.26
120.2,1102526,,25.26
121,11112522,,25.22
121.1,112522,,25.22
122,1102533,,25.33
122.1,1112533,,25.33
124,11112522,,25.22
124.1,1102522,,25.22
124.2,2522,,25.22
125,112525,,25.25
125.1,2525,,25.25
125.2,112525,,25.25
126,1102523,,25.23
126.2,2523,,25.23
128,1102511,,25.11
129.1,1102514,,25.14
131,11112509,,25.09
131.2,11112509,,25.09
132,11112515,,25.15
132.1,1102515,,25.15
133.1,82513,,25.13
133.2,1102515,,25.15
134,1102511,,25.11
136,1102512,,25.12
136.1,11112512,,25.12
136.2,1102512,,25.12
137,1102512,,25.12
137.1,112512,,25.12
137.2,11112513,,25.13
138.1,11112509,,25.09
144,1102504,,25.04
144.2,11112512,,25.12
145.2,11112511,,25.11
146.2,11112506,,25.06
147,1102506,,25.06
147.1,1102506,,25.06
147.2,11112506,,25.06
148,1102505,,25.05
148.1,1102505,,25.05
148.2,11112505,,25.05
151,1102524,,25.24
151.1,112524,,25.24
153.2,1102524,,25.24
154.1,1102524,,25.24
155.1,1102531,,25.31
155.2,112533,,25.33
159.2,1102515,,25.15
162,1102515,,25.15
162.1,1102515,,25.15
163,1102515,,25.15
163.1,2515,,25.15
163.2,11112515,,25.15
164.2,1102515,,25.15
170.1,2506,,25.06
171,112502,,25.02
171.1,11112502,,25.02
172.2,112509,,25.09
177.1,11112511,,25.11
178.1,112521,,25.21
179.2,11112518,,25.18
180.1,11112516,,25.16
181,112523,,25.23
181.2,2525,,25.25
182,112525,,25.25
182.1,112525,,25.25
182.2,2525,,25.25
183,11112524,,25.24
184.2,1102512,,25.12
185.1,2512,,25.12
187.2,112519,,25.19
188.1,1112515,,25.15
189,2514,,25.14
190,11112509,,25.09
196,11112504,,25.04
196.1,1102504,,25.04
197.2,112505,,25.05
198,112505,,25.05
198.1,2505,,25.05
200.2,11112510,,25.1
201.1,112514,,25.14
204,112534,,25.34
204.1,112514,,25.14
207.2,112504,,25.04
208.1,112504,,25.04
208.2,11112502,,25.02
209,11112502,,25.02
209.1,112502,,25.02
210.2,11112501,,25.01
211,112501,,25.01
211.2,2502,,25.02
212,1102502,,25.02
212.1,112502,,25.02
216,11112505,,25.05
216.1,112505,,25.05
218.1,11112513,,25.13
220.1,2513,,25.13
221.1,1102515,,25.15
221.2,6112515,,25.15
223,112514,,25.14
225.1,112519,,25.19
226.1,2514,,25.14
230.2,1102505,,25.05
231.1,112505,,25.05
232.2,112495,,24.95
233.1,112495,,24.95
235.2,2502,,25.02
236,112502,,25.02
237.1,11112503,,25.03
237.2,2505,,25.05
238.1,11112505,,25.05
241.2,82512,,25.12
242,11112512,,25.12
242.2,112515,,25.15
243,11112515,,25.15
244.2,11112515,,25.15
246.1,112515,,25.15
248.2,2512,,25.12
249.1,112512,,25.12
249.2,2515,,25.15
250,2515,,25.15
250.1,1182515,,25.15
253.1,112503,,25.03
254.2,1182505,,25.05
255.1,112505,,25.05
255.2,112512,,25.12
256.1,2512,,25.12
260.2,112530,,25.3
261.1,112531,,25.31
261.2,1102523,,25.23
262,2523,,25.23
262.2,2522,,25.22
263,82522,,25.22
263.1,2522,,25.22
264.1,112523,,25.23
264.2,112514,,25.14
266.2,112502,,25.02
267,112502,,25.02
267.1,11112502,,25.02
268.1,2503,,25.03
268.2,2501,,25.01
269,112501,,25.01
273,2504,,25.04
273.1,1182504,,25.04
275.2,112513,,25.13
276.1,11112513,,25.13
278.2,112516,,25.16
279.2,11112524,,25.24
280.1,2524,,25.24
281.2,2529,,25.29
282,112524,,25.24
282.1,1102524,,25.24
282.2,1102522,,25.22
283,2522,,25.22
283.1,11112522,,25.22
284,112523,,25.23
284.2,2524,,25.24
285,11112524,,25.24
285.1,11112524,,25.24
285.2,2525,,25.25
286,2525,,25.25
286.1,112525,,25.25
287.2,112525,,25.25
288,2525,,25.25
288.1,112525,,25.25
288.2,2522,,25.22
289.1,112522,,25.22
289.2,2524,,25.24
290.2,112522,,25.22
291,2522,,25.22
291.1,112522,,25.22
293,112516,,25.16
293.1,1102516,,25.16
293.2,2514,,25.14
296.2,1102501,,25.01
298.1,112504,,25.04
299,2502,,25.02
299.1,2502,,25.02
300.2,112502,,25.02
