frame,f1 flow,f2 flow
1,25.38,23.18
2,25.38,23.11
3,25.4,23.17190476190476
4,25.34,23.233809523809523
5,25.28,23.231
6,25.35,23.234666666666666
7,25.32,23.178
8,25.34,23.121333333333332
9,25.29,23.11
10,25.29,23.2
11,25.29,23.183333333333334
12,25.21,23.11777777777778
13,25.293333333333333,23.11
14,25.34,23.12
15,25.34,23.11090909090909
16,25.38,23.13
17,25.35333333333333,23.1
18,25.32,23.18
19,25.32,23.14
20,25.38,23.18
21,25.34,23.15
22,25.331999999999997,23.1665
23,25.35,23.1515
24,25.33,23.194444444444443
25,25.34,23.2
26,25.35,23.18
27,25.310000000000002,23.18
28,25.26,23.24
29,25.29,23.21
30,25.29,23.18
31,25.307142857142857,23.1
32,25.32857142857143,23.2
33,25.35,23.2
34,25.34,23.24
35,25.375555555555554,23.29
36,25.42,23.2
37,25.40222222222222,23.28
38,25.45,23.23
39,25.44142857142857,23.24
40,25.430714285714288,23.185454545454544
41,25.42,23.1674
42,25.44,23.1534
43,25.42896551724138,23.1394
44,25.415172413793105,23.1254
45,25.401379310344826,23.1114
46,25.39,23.11
47,25.39,23.05
48,25.406,23.03
49,25.398,23.08
50,25.383,23.186
51,25.38,23.19
52,25.38,23.14666666666667
53,25.31,23.14
54,25.322222222222223,23.14
55,25.35,23.2
56,25.34,23.18
57,25.329473684210527,23.157777777777778
58,25.316315789473684,23.13
59,25.30315789473684,23.14
60,25.29,23.15
61,25.29421052631579,23.24
62,25.299473684210525,23.24
63,25.3,23.24
64,25.3,23.24
65,25.336363636363636,23.284
66,25.37272727272727,23.28
67,25.39,23.31
68,25.44,23.3
69,25.42,23.28
70,25.39,23.28
71,25.26,23.23
72,25.23,23.23
73,25.24,23.21
74,25.2,23.242
75,25.20888888888889,23.24111111111111
76,25.19,23.24
77,25.35777777777778,23.28
78,25.212222222222223,23.25
79,25.251578947368422,23.25
80,25.32,23.28
81,25.31,23.246666666666666
82,25.35,23.24
83,25.26,23.24
84,25.29,23.185454545454544
85,25.28,23.18
86,25.29,23.34
87,25.24,23.39
88,25.21,23.26
89,25.21,23.34
90,25.21,23.24
91,25.28,23.22684210526316
92,25.35,23.247894736842106
93,25.35,23.25
94,25.317999999999998,23.21
95,25.39,23.2
96,25.42,23.18
97,25.39,23.13
98,25.5,23.266000000000002
99,25.59,23.244444444444444
100,25.44,23.24
101,25.42,23.294545454545457
102,25.42,23.3
103,25.39,23.3
104,25.36,23.27777777777778
105,25.34,23.25
106,25.29,23.277272727272727
107,25.3,23.237142857142857
108,25.36,23.18952380952381
109,25.342222222222222,23.11777777777778
110,25.32,23.11
111,25.4,23.08
112,25.38,23.08
113,25.424444444444443,23.1
114,25.42,23.09
115,25.373684210526317,23.14
116,25.31578947368421,23.194545454545455
117,25.38111111111111,23.19333333333333
118,25.39,23.18
119,25.29,23.141000000000002
120,25.32,23.14
121,25.315555555555555,23.15
122,25.31,23.09777777777778
123,25.26,23.09
124,25.304444444444446,23.08
125,25.36,23.03
126,25.4,23.08
127,25.45,23.122631578947367
128,25.401999999999997,23.13842105263158
129,25.342,23.14
130,25.36,23.15
131,25.39,23.11
132,25.3,23.11
133,25.37272727272727,23.18
134,25.365714285714283,23.18909090909091
135,25.34785714285714,23.19
136,25.33,23.15
137,25.39,23.18
138,25.38,23.154444444444444
139,25.41,23.151
140,25.382727272727273,23.15
141,25.335555555555555,23.18
142,25.39,23.14
143,25.398999999999997,23.01
144,25.362758620689654,23.04
145,25.321379310344827,23.05
146,25.28,23.08
147,25.29,23.05
148,25.35,23.02777777777778
149,25.42,23.068947368421053
150,25.38,23.142631578947366
151,25.402857142857144,23.15
152,25.431428571428572,23.182000000000002
153,25.46,23.19
154,25.486666666666665,23.148333333333333
155,25.474482758620688,23.14
156,25.457241379310346,23.15
157,25.44,23.2
158,25.43,23.11
159,25.36,23.14
160,25.35,23.15
161,25.39,23.18
162,25.31,23.2
163,25.365000000000002,23.18
164,25.42,23.19
165,25.313333333333333,23.15
166,25.38,23.108333333333334
167,25.309152542372882,23.1
168,25.319322033898306,23.16
169,25.32949152542373,23.134999999999998
170,25.33966101694915,23.174444444444443
171,25.349830508474575,23.18
172,25.36,23.162222222222223
173,25.38,23.16
174,25.37111111111111,23.228947368421053
175,25.36,23.25
176,25.342222222222222,23.21
177,25.32,23.21
178,25.34,23.21
179,25.295555555555556,23.246363636363636
180,25.24,23.247142857142858
181,25.2,23.24357142857143
182,25.15,23.24
183,25.127777777777776,23.2
184,25.15684210526316,23.192222222222224
185,25.22,23.19
186,25.22888888888889,23.19
187,25.24,23.16
188,25.23,23.18
189,25.26,23.18
190,25.273333333333333,23.18
191,25.29,23.15
192,25.267142857142858,23.15
193,25.288571428571426,23.14
194,25.31,23.15
195,25.323333333333334,23.116666666666664
196,25.336666666666666,23.083333333333332
197,25.35,23.08
198,25.38,23.14
199,25.36,23.14
200,25.38,23.153
201,25.389,23.15
202,25.36,23.18
203,25.384615384615383,23.18
204,25.415384615384614,23.21
205,25.446153846153848,23.25
206,25.47692307692308,23.2
207,25.53,23.145454545454545
208,25.52,23.14
209,25.53,23.11
210,25.55,23.10090909090909
211,25.51888888888889,23.046666666666667
212,25.48,23.04
213,25.424137931034483,23.0
214,25.362068965517242,23.04
215,25.3,23.088
216,25.36,23.11
217,25.34,23.162222222222223
218,25.34,23.178
219,25.39,23.18888888888889
220,25.39,23.19
221,25.39,23.17
222,25.38111111111111,23.11
223,25.314545454545453,23.18
224,25.35,23.18
225,25.29,23.06
226,25.32,23.054444444444442
227,25.21,23.095555555555556
228,25.25,23.091578947368422
229,25.214444444444446,23.081052631578945
230,25.35,23.09
231,25.358,23.04
232,25.404444444444444,23.04
233,25.46,23.08
234,25.49,23.05
235,25.5,23.08
236,25.52,23.05
237,25.55,23.08
238,25.48,23.05
239,25.488888888888887,23.056842105263158
240,25.52,23.077894736842104
241,25.42,23.03
242,25.384444444444444,23.04
243,25.38888888888889,23.04
244,25.309,23.05
245,25.32,23.08
246,25.35,23.18
247,25.36,23.15
248,25.38,23.18
249,25.405,23.15
250,25.420526315789473,23.18
251,25.433684210526316,23.083
