frame,f1 flow,f2 flow
1,25.18,23.4
2,25.22,23.43
3,25.186666666666664,23.45
4,25.153333333333332,23.51
5,25.05,23.48
6,25.09,23.49
7,25.03,23.4
8,25.04,23.44
9,25.094545454545457,23.38
10,25.0,23.43
11,25.12,23.39
12,25.046363636363637,23.37
13,25.05,23.38
14,25.168181818181818,23.41
15,25.201428571428572,23.41
16,25.225238095238094,23.41
17,25.247777777777777,23.43
18,25.26,23.38
19,25.26,23.43
20,25.17105263157895,23.42
21,25.097368421052632,23.43
22,25.202,23.42
23,25.15,23.48
24,25.03222222222222,23.48
25,25.02,23.4
26,25.06,23.51
27,25.05,23.4
28,25.2,23.49
29,25.26,23.45
30,25.03,23.4
31,25.09,23.39
32,25.22,23.38
33,25.08,23.4
34,25.09,23.33
35,25.014444444444443,23.31
36,25.0,23.28
37,25.05,23.32
38,25.02,23.3
39,25.05333333333333,23.33
40,25.06,23.37
41,25.14,23.3
42,25.085454545454542,23.41
43,25.061999999999998,23.48
44,25.06,23.51
45,25.09,23.5
46,25.062727272727273,23.52
47,25.06,23.52
48,25.2,23.5
49,25.04,23.51
50,25.0,23.48
51,25.09,23.4
52,25.056666666666665,23.43
53,25.06,23.41
54,25.04,23.4
55,25.016,23.42
56,25.02,23.41
57,25.06,23.42
58,25.06,23.4
59,25.15,23.35
60,25.13,23.37
61,25.19222222222222,23.3
62,25.279999999999998,23.34
63,25.29,23.33
64,25.23,23.34
65,25.24,23.28
66,25.28,23.28
67,25.23,23.34
68,25.22,23.31
69,25.25,23.33
70,25.29,23.34
71,25.2,23.33
72,25.18,23.35
73,25.2,23.42
74,25.227272727272727,23.44
75,25.23,23.43
76,25.24,23.4
77,25.2,23.45
78,25.16390243902439,23.45
79,25.11268292682927,23.4
80,25.061463414634147,23.432727272727274
81,25.010243902439026,23.44
82,25.0,23.47
83,25.24,23.4
84,25.06,23.404
85,25.06,23.4
86,24.95,23.39
87,24.95,23.37
88,24.99,23.34
89,24.999,23.34
90,25.03,23.31
91,25.03,23.32
92,25.02,23.37
93,25.03,23.4
94,25.24,23.39
95,25.24,23.4
96,25.22,23.38
97,25.2,23.38
