frame,f1 flow,f2 flow
1,25.1,23.22
2,25.09090909090909,23.22
3,25.09,23.22
4,25.185555555555556,23.22
5,25.28,23.2
6,25.153684210526315,23.22
7,25.09578947368421,23.24
8,25.09,23.25
9,25.08,23.27
10,25.12,23.26
11,25.05636363636364,23.22
12,25.067777777777778,23.24
13,25.09,23.21
14,25.157777777777778,23.2
15,25.16,23.19
16,25.227777777777778,23.24
17,25.23,23.2
18,25.15,23.2
19,25.18,23.25
20,25.23,23.2
21,25.23,23.19
22,25.14,23.198999999999998
23,25.06,23.2
24,25.02,23.19
25,25.03,23.23
26,25.084545454545456,23.198999999999998
27,25.09,23.2
28,25.03,23.22
29,25.04,23.2
30,25.04,23.2
31,25.06,23.2
32,25.114545454545457,23.2
33,25.12,23.23
34,25.12,23.23
35,25.12,23.22
36,25.12,23.22
37,25.13818181818182,23.24
38,25.14,23.22
39,25.17111111111111,23.22
40,25.15,23.23
41,25.222727272727273,23.19
42,25.23,23.19
43,25.19,23.19
44,25.181818181818183,23.19
45,25.18,23.2
46,25.13,23.21
47,25.15,23.17
48,25.137,23.11
49,25.131,23.11
50,25.121000000000002,23.13
51,25.12,23.11
52,25.09,23.11
53,25.13,23.072222222222223
54,25.05,23.07
55,25.08,23.09
56,24.99,23.12
57,24.96,23.15
58,25.014545454545456,23.14
59,25.011111111111113,23.14
60,25.019,23.16
61,25.055555555555554,23.215555555555554
62,25.06,23.22
63,25.05,23.2
64,25.12,23.18
65,25.13,23.16
66,25.09,23.15
67,24.98935483870968,23.15
68,24.944193548387098,23.14
69,24.899032258064516,23.16
70,24.99,23.14
71,25.017272727272726,23.15
72,25.04,23.2
73,25.065,23.19
74,25.09,23.18
75,25.15,23.21
76,25.13,23.23
77,25.139,23.27
78,25.1,23.25
79,25.05,23.24
80,25.063333333333333,23.24
81,25.08,23.29
82,25.084444444444443,23.32
83,25.09,23.29
84,25.14,23.3
85,25.13,23.27
86,25.162,23.25
87,25.202,23.26
88,25.25,23.23
89,25.24,23.19
90,25.22,23.24
91,25.211111111111112,23.25
92,25.192,23.2
93,25.22,23.16
94,25.11,23.198
95,25.1,23.2
96,25.26,23.22
97,25.26,23.21
98,25.28666666666667,23.14
99,25.32,23.14
100,25.32,23.15
101,25.307368421052633,23.17
102,25.29157894736842,23.23
103,25.21,23.22
104,25.12818181818182,23.2
105,25.14,23.19
106,25.14,23.23
107,25.13,23.21
108,25.114,23.18
109,25.11,23.19
110,25.086,23.13
111,25.092,23.09
112,25.107,23.09
113,25.154444444444444,23.09
114,25.151,23.04
115,25.141000000000002,23.09
116,25.11,23.1
117,25.14,23.09
118,39.58222222222224,23.1
119,25.26,23.15
120,25.26,23.16
121,25.22,23.18
122,25.33,23.22
123,25.277894736842104,23.2
124,25.22,23.22
125,25.25,23.2
126,25.23,23.21
127,25.176666666666666,23.17
128,25.11,23.24
129,25.137272727272727,23.2
130,25.116315789473685,23.16
131,25.09,23.14
132,25.15,23.15
133,25.131999999999998,23.14
134,25.11,23.17
135,25.115000000000002,23.153333333333332
136,25.12,23.15
137,25.12,23.17
138,25.094444444444445,23.17
139,25.082372881355933,23.2
140,25.073898305084747,23.17
141,25.06542372881356,23.2
142,25.056949152542373,23.19
143,25.048474576271186,23.23
144,25.04,23.2
145,25.112,23.19
146,25.069999999999997,23.2
147,25.06,23.14
148,25.05,23.11
149,25.104285714285716,23.12
150,25.172142857142855,23.06
151,25.24,23.01
152,25.24,23.03
153,25.24,23.02
154,25.24,23.03
155,25.303,23.04
156,25.293999999999997,23.09
157,25.249,23.12
158,25.203999999999997,23.19272727272727
159,25.159,23.2
160,25.15,23.19
161,25.15,23.2
162,25.15,23.21
163,25.15,23.23
164,25.15,23.24
165,25.13779661016949,23.19
166,25.122542372881355,23.16
167,25.10728813559322,23.17
168,25.092033898305083,23.2
169,25.076779661016946,23.21
170,25.061525423728813,23.2
171,25.02,23.21
172,25.077272727272728,23.17
173,25.093265306122447,23.2
174,25.09734693877551,23.26
175,25.10142857142857,23.25
176,25.105510204081632,23.25
177,25.109591836734694,23.29
178,25.200000000000003,23.27
179,25.185454545454544,23.26
180,25.162222222222223,23.31
181,25.23,23.31
182,25.25,23.29
183,25.24,23.27
184,25.14,23.26
185,25.12,23.22
186,25.150000000000002,23.22
187,25.183333333333334,23.25
188,25.154444444444444,23.22
189,25.14,23.24
190,25.09,23.25
191,25.081666666666667,23.25
192,25.073333333333334,23.24
193,25.064999999999998,23.25
194,25.056666666666665,23.25
195,25.048333333333332,23.17
196,25.04,23.16
197,25.048181818181817,23.12
198,25.05,23.09
199,25.071428571428573,23.13
200,25.0952380952381,23.14
201,25.135555555555555,23.15
202,25.202068965517242,23.15
203,25.271034482758623,23.21
204,25.34,23.25
205,25.110967741935482,23.19
206,25.078709677419354,23.19
207,25.046451612903226,23.15
208,25.04,23.12
209,25.02,23.12
