frame,f1 flow,f2 flow
1,24.95,23.29
2,24.95,23.29
3,24.96,23.28
4,24.98,23.31
5,24.98,23.25
6,25.01,23.21
7,25.02,23.25
8,25.04,23.24
9,25.05,23.23
10,25.02,23.226
11,25.02285714285714,23.23
12,25.02642857142857,23.205454545454543
13,25.03,23.2
14,24.99,23.18
15,24.99,23.2
16,24.96,23.26
17,24.91090909090909,23.27
18,24.93,23.25
19,24.95,23.26
20,24.94,23.31
21,24.913333333333334,23.33
22,24.88,23.34
23,24.84,23.34
24,24.89,23.31
25,24.93,23.32
26,24.947777777777777,23.38
27,24.94,23.37
28,25.0,23.36
29,25.05,23.37
30,25.12,23.39
31,25.146666666666665,23.39
32,25.13222222222222,23.37
33,25.06,23.35
34,25.02,23.34
35,25.011111111111113,23.381111111111114
36,24.985555555555557,23.42
37,24.93,23.47
38,24.89,23.25
39,24.885555555555555,23.12
40,24.88,23.14
41,24.95,23.22
42,24.934,23.28
43,24.912222222222223,23.32
44,24.95,23.34
45,24.92,23.34
46,24.91111111111111,23.32
47,24.92,23.27
48,24.88,23.32
49,24.84,23.32
50,24.81,23.33
51,24.88,23.37
52,24.898,23.33
53,24.94,23.34
54,24.96,23.34
55,24.98,23.36
56,24.99,23.37
57,25.016666666666666,23.35
58,25.03,23.31
59,25.006315789473685,23.32
60,24.98,23.35
61,24.99,23.35
62,24.9675,23.31
63,24.942500000000003,23.31
64,24.87,23.283333333333335
65,24.83,23.3
66,24.85,23.3
67,24.85,23.262105263157896
68,24.83,23.214736842105264
69,24.82,23.29
70,24.82,23.35
71,24.83,23.37
72,24.90111111111111,23.35
73,24.92,23.38
74,24.848,23.42
75,24.834444444444443,23.45
76,24.84,23.48
77,24.808,23.42
78,24.84,23.4
79,24.875555555555554,23.4
80,24.864,23.47
81,24.68,23.44
82,24.96,23.42
83,25.01,23.37
84,25.05,23.35
85,25.06655172413793,23.34
86,25.087241379310345,23.39
87,25.107931034482757,23.33
88,25.11,23.3
89,25.11,23.25
90,25.08,23.22
91,25.04,23.19
92,25.02,23.19
93,25.006666666666664,23.23
94,24.99,23.23
95,24.95,23.27
96,25.95,23.25
97,24.95888888888889,23.25
98,24.92,23.29
99,24.88,23.35
100,24.92,23.32
101,24.92,23.31
102,24.96,23.32
103,25.02,23.35
104,25.05,23.35
105,25.06,23.36777777777778
106,25.15,23.35
107,25.19,23.35
108,25.18,23.39
109,25.124,23.39
110,25.127777777777776,23.4
111,25.098888888888887,23.376
112,25.06,23.41
113,25.03,23.4
114,24.984545454545454,23.43
115,24.92666666666667,23.45
116,24.924444444444447,23.49
117,24.93,23.49
118,24.95,23.42
119,24.91,23.45
120,24.96,23.38
121,24.93,23.43
122,24.948,23.42
123,25.04,23.42
124,25.05,23.380000000000003
125,25.08,23.37
126,25.06,23.378888888888888
127,25.05,23.35
128,25.04111111111111,23.31
129,25.01,23.32
130,25.01,23.25
131,25.072222222222223,23.25
132,25.15,23.29
133,25.09,23.281111111111112
134,25.09,23.31
135,25.12,23.31
136,25.048000000000002,23.4
137,25.03,23.42
138,25.05,23.5
139,25.03,23.49
140,25.03857142857143,23.49
141,25.049285714285713,23.45
142,25.06,23.44
143,25.097894736842104,23.46
144,25.145263157894735,23.35
145,25.13222222222222,23.35
146,25.06,23.31
147,25.04,23.29
148,25.09,23.29
149,25.04,23.34
150,24.997894736842106,23.316
151,24.945263157894736,23.38
152,24.93,23.41
153,24.92,23.42
154,24.96,23.4
155,24.99,23.39
156,24.98,23.35
157,24.99,23.3
158,24.99,23.29
159,25.00777777777778,23.29
160,24.993636363636362,23.29
161,25.04,23.28
162,24.995555555555555,23.34
163,24.98,23.38
164,24.93,23.41
165,24.88,23.45
166,24.88,23.455555555555556
167,24.88,23.45
168,24.82,23.43
169,24.836,23.4
170,24.884444444444444,23.41
171,24.836666666666666,23.4
172,24.87,23.37
173,24.92,23.346315789473685
174,24.96,23.32
175,25.01,23.31
176,25.06,23.34
177,25.04,23.41
178,25.04888888888889,23.38
179,25.1,23.38
180,25.03,23.36
181,25.05,23.33
182,25.06,23.36
183,25.05,23.33
184,25.032222222222224,23.36
185,25.06,23.29
186,24.98,23.29
187,24.964000000000002,23.33
188,24.95,23.38
189,24.89,23.39
190,24.89,23.38
191,24.91,23.41
192,24.928947368421053,23.383333333333333
193,24.95,23.4
194,24.985999999999997,23.42
195,25.004210526315788,23.32
196,25.02,23.35
197,25.04,23.34
198,25.04,23.29
199,25.037241379310345,23.26
200,25.033793103448275,23.29
201,25.03034482758621,23.28
202,25.04,23.26
203,25.04,23.271428571428572
204,25.04,23.28571428571429
205,25.057777777777776,23.3
206,25.06,23.31
207,24.55,23.35
208,24.99,23.33
209,24.92,23.35
210,24.92,23.42
211,24.89,23.41
212,24.9,23.39
213,24.892,23.42
214,24.836666666666666,23.45
215,24.95,23.45
216,24.946896551724137,23.45
217,24.94344827586207,23.45
218,24.94,23.38
219,24.95,23.4
220,24.9,23.41
221,24.863636363636363,23.35
222,24.82,23.34
223,24.83,23.37
224,24.81222222222222,23.4
225,24.79,23.38
226,24.82,23.39
227,24.86,23.43
228,24.895555555555553,23.48
229,24.95,23.5
230,24.94578947368421,23.473333333333333
231,24.940526315789477,23.44
232,25.01,23.41
233,25.02,23.41
234,25.06,23.36
235,25.03,23.33
236,25.03,23.29
237,25.003333333333334,23.3
238,25.02,23.36
239,25.06,23.36888888888889
240,25.98,23.38
241,25.079999999999995,23.42
242,24.95,23.46
243,24.98,23.46
244,24.988888888888887,23.467777777777776
245,24.99,23.45
246,24.96,23.4
247,24.92,23.39
248,24.98,23.39
249,24.961052631578948,23.39
250,24.94,23.39
251,23.94,23.41
252,24.93,23.37
253,24.95,23.36
254,29.96,23.41
255,24.933333333333334,23.39
256,24.9,23.41
257,24.9,23.38
258,24.94,23.38
259,24.95777777777778,23.35
260,24.98,23.39
261,24.93,23.38
262,24.94421052631579,23.31
263,24.96,23.33
264,25.000000000000004,23.33
265,25.05,23.35
266,25.1,23.4
267,25.11,23.39
268,25.12,23.38
269,25.146666666666665,23.38
270,25.15,23.41
271,25.15,23.4
272,25.105862068965514,23.368888888888886
273,25.050689655172413,23.33
274,24.99551724137931,23.25
275,25.86299999999998,23.3
276,24.98,23.3
277,24.99,23.32
278,24.975,23.34
279,24.96,23.34
280,24.954482758620692,23.31
281,24.947586206896553,23.32
282,24.940689655172417,23.376
283,24.98,23.31
284,24.93,23.31
285,24.953684210526315,23.33
286,24.98,23.34
287,25.02,23.29
288,25.03,23.3
289,25.07090909090909,23.3
290,25.09,23.29
291,25.09842105263158,23.25
292,25.108947368421052,23.24
293,25.06736842105263,23.22
294,25.02,23.21
295,24.982105263157894,23.25
296,24.934736842105263,23.29
297,24.925555555555555,23.31
298,24.92,23.34
299,24.884444444444444,23.39
300,24.84,23.39
