frame,f1 flow,f2 flow
1,24.69,23.66
2,24.69,23.69
3,24.62,23.653636363636362
4,24.59,23.65
5,24.54,23.65
6,24.516000000000002,23.68
7,24.47888888888889,23.66
8,24.44,23.61
9,24.48,23.62
10,24.485,23.62
11,24.49,23.61
12,24.52,23.62
13,24.529,23.61
14,24.538999999999998,23.63
15,24.549,23.62
16,24.558999999999997,23.62
17,24.59,23.59
18,24.59,23.55
19,24.59,23.52
20,24.59,23.56
21,24.606161616161614,23.55
22,24.626363636363635,23.53
23,24.646565656565656,23.55
24,24.666767676767677,23.55
25,24.686969696969697,23.53
26,24.70717171717172,23.6
27,24.727373737373735,23.62
28,24.747575757575756,23.58
29,24.767777777777777,23.55
30,24.787979797979798,23.37
31,24.755384615384614,23.58
32,24.716923076923077,23.6
33,24.678461538461537,23.375555555555557
34,24.64,23.55
35,24.64,23.52
36,24.64,23.53
37,24.662068965517243,23.6
38,24.689655172413794,23.58
39,24.717241379310344,23.614444444444445
40,24.75315789473684,23.62
41,24.79,23.62
42,24.77448275862069,23.63
43,24.757241379310344,23.68
44,24.74,23.575555555555553
45,24.69,23.67
46,24.663333333333334,23.67
47,24.64,23.66
48,24.65,23.6
49,24.62,23.61
50,24.676000000000002,23.62
51,24.682,23.61
52,24.69142857142857,23.62
53,24.705714285714286,23.61
54,24.72,23.67
55,24.7,23.66
56,24.68,23.66
57,24.65,23.61
58,24.69,23.3
59,24.663,23.3
60,24.642222222222223,23.66
61,24.62,23.654444444444444
62,24.629333333333335,23.66
63,24.641000000000002,23.68
64,24.65266666666667,23.64
65,24.664333333333335,23.65
66,24.676000000000002,23.66
67,24.68766666666667,23.65
68,24.69,23.66
69,24.654444444444444,23.69
70,24.623,23.66
71,24.59,23.66
72,24.55,23.32
73,24.56,23.69
74,24.54315789473684,23.308888888888887
75,24.522105263157894,23.31
76,24.539310344827587,23.643
77,24.56344827586207,23.68
78,24.587586206896553,23.31
79,24.6008,23.34
80,24.6128,23.33
81,24.6248,23.76
82,24.636799999999997,23.3
83,24.648799999999998,23.69
84,24.63285714285714,23.3
85,24.611428571428572,23.69
86,24.59,23.66
87,24.61857142857143,23.63
88,24.654285714285717,23.63
89,24.69,23.62
90,24.721111111111114,23.64
91,24.76,23.68
92,24.786666666666665,23.67
93,24.79,23.68
94,24.77315789473684,23.69
95,24.752105263157894,23.66
96,24.74,23.63
97,24.72,23.59
98,24.62,23.58
99,24.62,23.52
100,24.633333333333333,23.51
101,24.65,23.52
102,24.662631578947366,23.5
103,24.678421052631577,23.52
104,24.644000000000002,23.56
105,24.685000000000002,23.552222222222223
106,24.69,23.55
107,24.69,23.58
108,24.69,23.58
109,24.69,23.55
110,24.65,23.54
111,24.59,23.52
112,24.576666666666664,23.49
113,24.56,23.55
114,24.56,23.59
115,24.54,23.58
116,24.572,23.56
117,24.612,23.56
118,24.651999999999997,23.6
119,24.692,23.69
120,24.732,23.68
121,24.735555555555553,23.64
122,24.73,23.64
123,24.703333333333333,23.68
124,24.676666666666666,23.31
125,24.65,23.19
126,24.65,23.39
127,24.65,23.336666666666666
128,24.63,23.34
129,24.61,23.31
130,24.59,23.32
131,24.646,23.65
132,24.67263157894737,23.64
133,24.68842105263158,23.56
134,24.69,23.55
135,24.69,23.53181818181818
136,24.69,23.53
137,24.65,23.57
138,24.635510204081633,23.56
139,24.641632653061222,23.59
140,24.647755102040815,23.61
141,24.653877551020408,23.6
142,24.66,23.59
143,24.723636363636363,23.56
144,24.657999999999998,23.62
145,24.83,23.63
146,24.825238095238095,23.64
147,24.820476190476192,23.63
148,24.8,23.63
149,24.86,23.68
150,24.834999999999997,23.67
151,24.807142857142857,23.3
152,24.77857142857143,23.72
153,24.75,23.31
154,25.202380952380953,23.724545454545456
155,25.654761904761905,23.13
156,24.873636363636354,23.284545454545455
157,24.666,23.7
158,24.642222222222223,23.71
159,24.62,23.32
160,24.62,23.3
161,24.64,23.67
162,24.65,23.62
163,24.65,23.64
164,24.62,23.6
165,24.633793103448276,23.64
166,24.65103448275862,23.63
167,24.668275862068967,23.66
168,24.68551724137931,23.62
169,24.702758620689654,23.66
170,24.72,23.31
171,24.69,23.65
172,24.73,23.68
173,24.675,23.65
174,24.62,23.66
175,24.605263157894736,23.63
176,24.58684210526316,23.65
177,24.568421052631578,23.64
178,24.55,23.64
179,24.533636363636365,23.64
180,24.54257142857143,23.63
181,24.558285714285716,23.63
182,24.574,23.63
183,24.589714285714287,23.63
184,24.605428571428572,23.62
185,24.621142857142857,23.62
186,24.636857142857142,23.57
187,24.657777777777778,23.6
188,24.66,23.59
189,24.66,23.56
190,24.66,23.57
191,24.72,23.57
192,24.72421052631579,23.53
193,24.729473684210525,23.51
194,24.65,23.6
195,24.62333333333333,23.57
196,24.59,23.58
197,24.556666666666665,23.58
198,24.523333333333333,23.55
199,24.49,23.61
200,24.56,23.61
201,24.599999999999998,23.61
202,24.65,23.59
203,24.651379310344826,23.62
204,24.65310344827586,23.6
205,24.654827586206896,23.62
206,24.65655172413793,23.63
207,24.658275862068965,23.61
208,24.66,23.56
209,24.604,23.55
210,24.603333333333335,23.58
211,24.62,23.56
212,24.606666666666666,23.56
213,24.59,23.56
214,24.57857142857143,23.57
215,24.564285714285713,23.52
216,24.55,23.53
217,24.581111111111113,23.5
218,24.62,23.51
219,24.601333333333333,23.53
220,24.578,23.55
221,24.554666666666666,23.54
222,24.53,23.58
223,24.505,23.65
224,24.48,23.61
225,24.455,23.64
226,24.45,23.59
227,24.46,23.38
228,24.476666666666667,23.57
229,24.493333333333336,23.56
230,24.51,23.51
231,24.526666666666667,23.46
232,24.53,23.5
233,24.53,23.5
234,24.53,23.53
235,24.53,23.56
236,24.584,23.59
237,24.59,23.63
238,24.62,23.62
