frame,f1 flow,f2 flow
1,25.03,23.34
2,25.02,23.34
3,25.04,23.33
4,25.037777777777777,23.31
5,25.04,23.27
6,25.06,23.298000000000002
7,25.083333333333332,23.3
8,25.09,23.29
9,25.053636363636365,23.33
10,25.05,23.257272727272728
11,25.06,23.25
12,25.06,23.3
13,25.06,23.34
14,25.06,23.32
15,25.06,23.34
16,25.06,23.39
17,25.070526315789472,23.43
18,25.06,23.42
19,25.05,23.42
20,25.025,23.38
21,25.02,23.34
22,25.02,23.33
23,25.02,23.29
24,25.05,23.29
25,25.057777777777776,23.29
26,25.093684210526316,23.29
27,25.135789473684213,23.32
28,25.14,23.37
29,25.09909090909091,23.406666666666666
30,25.05818181818182,23.41
31,25.05,23.41
32,25.04,23.35
33,25.02,23.32
34,24.923,23.31
35,24.893,23.25
36,23.89,23.24
37,24.89,23.25
38,24.95,23.2
39,24.985,23.19
40,25.02,23.2
41,25.05,23.23
42,25.06904761904762,23.25
43,25.08809523809524,23.29
44,25.09,23.29909090909091
45,25.11,23.3
46,24.99,23.32
47,24.925,23.32
48,24.92,23.33
49,24.885,23.31
50,24.85,23.26
51,24.922,23.23
52,24.93,23.21
53,24.965,23.173636363636366
54,25.0,23.17
55,25.046666666666667,23.14
56,25.05,23.15
57,25.05,23.14
58,25.09,23.2
59,25.09,23.22
60,25.04,23.29
61,24.99,23.31
62,24.994999999999997,23.32
63,25.0,23.347272727272728
64,25.054444444444442,23.35
65,25.06,23.37
66,25.05,23.34
67,25.04,23.34
68,25.05,23.29
69,25.09,23.25
70,25.061875,23.22
71,25.03375,23.2
72,25.005625,23.19
73,25.05333333333333,23.18166666666667
74,25.88400000000001,23.171111111111113
75,25.09,23.17
76,25.3,23.17
77,25.11,23.21
78,25.09,23.26
79,25.05,23.314545454545456
80,25.08809523809524,23.32
81,25.126190476190477,23.3
82,25.13,23.31
83,25.060000000000002,23.32
84,25.05,23.31
85,25.05,23.26
86,25.05,23.26
87,25.04268292682927,23.24
88,25.035365853658536,23.26
89,25.028048780487804,23.29
90,25.020731707317072,23.288888888888888
91,25.02,23.29
92,25.02,23.3
93,25.02,23.34
94,25.09,23.3
95,25.09,23.3
96,25.03,23.25
97,25.09,23.21
98,25.064999999999998,23.23
99,25.051111111111112,23.18
100,25.086,23.19
101,25.125999999999998,23.17
102,25.13,23.18888888888889
103,25.155555555555555,23.19
104,25.36,23.22
105,25.13,23.25
106,25.14818181818182,23.24
107,25.13222222222222,23.3
108,25.11,23.31
109,25.064545454545453,23.31
110,25.06820512820513,23.31
111,25.07846153846154,23.29
112,25.08871794871795,23.297777777777778
113,25.09897435897436,23.3
114,25.127,23.31
115,25.13888888888889,23.29263157894737
116,25.14,23.308421052631576
117,25.11421052631579,23.31
118,25.119473684210526,23.37
119,25.12,23.39
120,25.36,23.37
121,25.163,23.35
122,25.16,23.36
123,25.147,23.38
124,25.15,23.362
125,25.16,23.36
126,26.15,23.28
127,25.149999999999995,23.29
128,25.05,23.3
129,25.037,23.3
130,25.03,23.29
131,25.04,23.29909090909091
132,25.0275,23.3
133,25.015,23.27
134,25.0025,23.29
135,25.035555555555554,23.261111111111113
136,25.04,23.25
137,25.05,23.25
138,25.04,23.26
139,25.04,23.25
140,25.06,23.25
141,25.04,23.27
142,25.03,23.3
143,25.02,23.31
144,24.99,23.253
145,24.965,23.25
146,24.96,23.24
147,24.96,23.24
148,24.93,23.22
149,24.962258064516128,23.25
150,24.99451612903226,23.25
151,25.026774193548388,23.25
152,25.03,23.26
153,25.04,23.25
154,25.112727272727273,23.25
155,25.12,23.34
156,25.14,23.36
157,25.13,23.32
158,25.13,23.32
159,25.094285714285714,23.33
160,25.065714285714286,23.36
161,25.086666666666666,23.37
162,25.09,23.37
163,24.997142857142858,23.31
164,24.99357142857143,23.26
165,24.99,23.25
166,25.02,23.24
167,25.05,23.23
168,25.02,23.23
169,25.026451612903227,23.252
170,25.03290322580645,23.25
171,25.039354838709677,23.23
172,25.04,23.27
173,25.05,23.34
174,25.04,23.34
175,25.04,23.274444444444445
176,25.024444444444445,23.28
177,25.02,23.32
178,25.02,23.33
179,25.02,23.33
180,25.04,23.34
181,25.02,23.3
182,25.02,23.31
183,25.03,23.39
184,24.955000000000002,23.326363636363638
185,24.94,23.32
186,24.95,23.34
187,24.95,23.34
188,24.879655172413795,23.35
189,24.734827586206897,23.34
190,24.59,23.35
191,24.799523809523812,23.34
192,25.00904761904762,23.33
193,25.03,23.36
194,25.04,23.33
195,24.63090909090909,23.35
196,24.99,23.29
197,25.02,23.31
198,25.005,23.25
199,24.99,23.24
200,25.037777777777777,23.22
201,25.008,23.22
202,25.080000000000002,23.19
203,25.09,23.19
204,25.02,23.201
205,25.02,23.191000000000003
206,25.05,23.19
207,25.04090909090909,23.198888888888888
208,25.04,23.2
209,25.03,23.245
210,25.03,23.23
211,24.99,23.22
212,25.04,23.23
213,25.02,23.25
214,24.08363636363636,23.24
215,24.99,23.23
216,24.9937037037037,23.238888888888887
217,24.997407407407405,23.24
218,25.00111111111111,23.23
219,25.004814814814814,23.23
220,25.008518518518517,23.201428571428572
221,25.01222222222222,23.172857142857143
222,25.015925925925924,23.145555555555553
223,25.01962962962963,23.15
224,29.02,23.15
225,25.05,23.15
226,25.02,23.1
227,25.05,23.164444444444445
228,25.04,23.17
229,25.04909090909091,23.11
230,25.05,23.24
231,25.04047619047619,23.312727272727273
232,25.03095238095238,23.31111111111111
233,25.03,23.31
234,25.03,23.31
235,25.037317073170733,23.35
236,25.044634146341462,23.35
237,25.051951219512194,23.38
238,25.059268292682926,23.38888888888889
239,25.06,23.39
240,25.058999999999997,23.323333333333334
241,25.06,23.279999999999998
242,25.06,23.27
243,25.06,23.27
244,25.06,23.212222222222223
245,25.04,23.13888888888889
246,25.054444444444446,23.13
247,25.05,23.11
248,25.12,23.11
249,25.13,23.195555555555554
250,25.13,23.164444444444445
251,25.14,23.22222222222222
252,25.142222222222223,23.23
253,25.12,23.35
254,25.058,23.34
255,25.06,23.33
256,25.05090909090909,23.35
257,25.03,23.35
258,24.93909090909091,23.31
259,24.93,23.41
260,25.013333333333335,23.3
261,25.03,23.264444444444447
262,25.09,23.26
263,25.03842105263158,23.26
264,25.048947368421054,23.25
265,25.05,23.24
266,25.04090909090909,23.25
267,25.07315789473684,23.21
268,25.11,23.16
269,25.06,23.14
270,25.269999999999996,23.166666666666668
271,25.147000000000002,23.19842105263158
272,25.13,23.23
273,25.13,23.29
274,25.13,23.23
275,25.02888888888889,23.27
276,25.02,23.39
277,25.05,23.41
278,25.03,23.39
279,25.053333333333335,23.35
280,25.076666666666668,23.35
281,25.1,23.34
282,25.1,23.32
283,25.03636363636364,23.31
284,25.03,23.3
285,25.06,23.27
286,25.02,23.287777777777777
287,24.993333333333332,23.33
288,24.99,23.33
289,24.932727272727274,23.23
290,24.92,23.3
291,24.956363636363637,23.31
292,24.96,23.29222222222222
293,25.03,23.31
294,25.02111111111111,23.31
295,25.02,23.31
296,25.06,23.31
297,25.05,23.3
298,25.06,23.31
299,25.04222222222222,23.25
300,25.04,23.21
