frame,f1 flow,f2 flow
1,24.61,23.48
2,24.68,23.48
3,24.63,23.48
4,24.6,23.48
5,24.63,23.48
6,24.65,23.48
7,24.66,23.48
8,24.69,23.48
9,24.63,23.48
10,24.66,23.48
11,24.64,23.48
12,24.672727272727272,23.48
13,24.65,23.48
14,24.674,23.48
15,24.62,23.48
16,24.62,23.48
17,24.673333333333332,23.48
18,24.66,23.48
19,24.65,23.49
20,24.65,23.45
21,24.686,23.392000000000003
22,24.69,23.357000000000003
23,24.66,23.385555555555555
24,24.65,23.32
25,24.66,23.29
26,24.63,23.28
27,24.63,23.32
28,24.63,23.30181818181818
29,24.63,23.408
30,24.63,23.528
31,24.82,23.35
32,24.83,23.422727272727272
33,24.86,23.472105263157896
34,24.877777777777776,23.524736842105263
35,24.86578947368421,23.45
36,24.85,23.53
37,24.82,23.42
38,24.824444444444445,23.35636363636364
39,24.83,23.33
40,24.88,23.345555555555556
41,24.88,23.35
42,24.924444444444443,23.425
43,24.84,23.43111111111111
44,24.885454545454547,23.43
45,24.85,23.4
46,24.773333333333333,23.43
47,24.69,23.463333333333335
48,24.62,23.53
49,24.62,23.43
50,24.62,23.43
51,24.69,23.42
52,24.66,23.45
53,24.64,23.45
54,24.63,23.506
55,24.66,23.526
56,24.65,23.52578947368421
57,24.65,23.520526315789475
58,24.63,23.483999999999998
59,24.83888888888889,23.439
60,24.849473684210526,23.47
61,24.86,23.52
62,24.84111111111111,23.53
63,24.831,23.51
64,24.846,23.462
65,24.83,23.502000000000002
66,24.878,23.41
67,24.89,23.43
68,24.876666666666665,23.43
69,24.86,23.43
70,24.8,23.43
71,24.814999999999998,23.41
72,24.83,23.41
73,24.854999999999997,23.414761904761907
74,24.88,23.41952380952381
75,24.88,23.43
76,24.848,23.41
77,24.808,23.41
78,24.89,23.43
79,24.83,23.473684210526315
80,24.78142857142857,23.51578947368421
81,24.720714285714287,23.546666666666667
82,24.66,23.59
83,24.72222222222222,23.53
84,24.8,23.57548387096774
85,24.73,23.559354838709677
86,24.82,23.543225806451613
87,24.86,23.510666666666665
88,24.83,23.474
89,24.83888888888889,23.43733333333333
90,24.83,23.43
91,24.89222222222222,23.43
92,24.85,23.421111111111113
93,24.83,23.424444444444447
94,24.83,23.43
95,24.83,23.43
96,24.83,23.47090909090909
97,24.874444444444443,23.51181818181818
98,24.83,23.52
99,24.85,23.53818181818182
100,24.882,23.544444444444444
101,24.872222222222224,23.55
102,24.85,23.55
103,24.80909090909091,23.53666666666667
104,24.85,23.523333333333333
105,24.86,23.51
106,24.86,23.455454545454543
107,24.88,23.522000000000002
108,24.857777777777777,23.53
109,24.83,23.53
110,24.843333333333334,23.54
111,24.86,23.54
112,24.85,23.55
113,24.858999999999998,23.52
114,24.854285714285712,23.506
115,24.847142857142856,23.479333333333333
116,24.84,23.452666666666666
117,24.83,23.523636363636363
118,24.83,23.50857142857143
119,24.93,23.469285714285714
120,24.88,23.43
121,24.88,23.52
122,24.82,23.511111111111113
123,24.85,23.53
124,24.83,23.43
125,24.803,23.41
126,24.826999999999998,23.446363636363635
127,24.68,23.45
128,24.68,23.522727272727273
129,24.740000000000002,23.43
130,24.8,23.45
131,24.68,23.476666666666667
132,24.684444444444445,23.503333333333334
133,24.69,23.53
134,24.66,23.49
135,24.686666666666667,23.524444444444445
136,24.816,23.53
137,24.69,23.52
138,24.63,23.466666666666665
139,24.81,23.4
140,24.85,23.49
141,24.89,23.43
142,24.80818181818182,23.42
143,24.82,23.52
144,24.86,23.42
145,24.80666666666667,23.42
146,24.82842105263158,23.33
147,24.86,23.33
148,24.84736842105263,23.41888888888889
149,24.83157894736842,23.420526315789473
150,24.84,23.41
151,24.711999999999996,23.42
152,24.84,23.43
153,24.68,23.42
154,24.86,23.423103448275864
155,24.86,23.42655172413793
156,24.833333333333332,23.43
157,24.83,23.41
158,24.84,23.446363636363635
159,24.872,23.44111111111111
160,24.835555555555555,23.43
161,24.838,23.43
162,24.872,23.45
163,24.81,23.43
164,24.88,23.433333333333334
165,24.84,23.436666666666667
166,24.8,23.44
167,24.80888888888889,23.400000000000002
168,24.82,23.35
169,24.85,23.371052631578948
170,24.83222222222222,23.35
171,24.84777777777778,23.39
172,24.83,23.32
173,24.83,23.33
174,24.83,23.33
175,24.807777777777776,23.35
176,24.78,23.42
177,24.82,23.45
178,24.83,23.42
179,24.83,23.49
180,24.83,23.434
181,24.83,23.42
182,24.86,23.44
183,24.83448275862069,23.458
184,24.817241379310346,23.43
185,24.8,23.43
186,24.83,23.43
187,24.857,23.49
188,24.887,23.52
189,24.86,23.50736842105263
190,24.82,23.49157894736842
191,24.86,23.42
192,24.833,23.434285714285714
193,24.834,23.448571428571427
194,24.839,23.43
195,24.69,23.45
196,24.789,23.42
197,24.854,23.429310344827588
198,24.63,23.439655172413794
199,24.63,23.45
200,24.65,23.41
201,24.83,23.48333333333333
202,24.86,23.45
203,24.858888888888888,23.43111111111111
204,24.85,23.42
205,24.88,23.42615384615385
206,24.82,23.433846153846154
207,24.82,23.44153846153846
208,24.82,23.44923076923077
209,24.82470588235294,23.42
210,24.83058823529412,23.45
211,24.836470588235294,23.44
212,24.842352941176472,23.43
213,24.848235294117647,23.42
214,24.854117647058825,23.42
215,24.86,23.423333333333336
216,25.210000000000004,23.426666666666666
217,24.959999999999994,23.43
218,24.87142857142857,23.425897435897436
219,24.860714285714288,23.42076923076923
220,24.85,23.415641025641026
221,24.88,23.41051282051282
222,24.63,23.39
223,24.82,23.35
224,24.8,23.35
225,24.75,23.336363636363636
226,24.692,23.322727272727274
227,24.63,23.43
228,24.82,23.43
229,24.868,23.49
230,24.83,23.43
231,24.834,23.52777777777778
232,24.895555555555553,23.466363636363635
233,24.914210526315788,23.45
234,24.93,23.43
235,24.93,23.43
236,24.881999999999998,23.43
237,24.822,23.43
238,24.83,23.42
239,24.803529411764703,23.41
240,24.774117647058823,23.41
241,24.74470588235294,23.414736842105263
242,24.71529411764706,23.42
243,24.685882352941174,23.375
244,24.67448275862069,23.33
245,24.66758620689655,23.38
246,24.660689655172416,23.43
247,24.66,23.425555555555555
248,24.63,23.42
249,24.66,23.41111111111111
250,24.63,23.42
251,24.83,23.42
252,24.778000000000002,23.43
253,24.838,23.43
254,24.85,23.42
255,24.84578947368421,23.43
256,24.83,23.412222222222223
257,24.83,23.462105263157895
258,24.878,23.52
259,24.887333333333334,23.52888888888889
260,24.884,23.474444444444444
261,24.880666666666666,23.43
262,24.86,23.509999999999998
263,24.834999999999997,23.53
264,25.03,23.53
265,24.83,23.53
266,24.83,23.53
267,24.886,23.53
268,24.881,23.52111111111111
269,24.83,23.52888888888889
270,24.83,23.50692307692308
271,24.83,23.48128205128205
272,24.83,23.455641025641025
273,24.83,23.43
274,24.86448275862069,23.43
275,24.847241379310343,23.32
276,24.83,23.333636363636366
277,24.83,23.347272727272728
278,24.83,23.372068965517244
279,24.86,23.399655172413794
280,24.86,23.427241379310345
281,24.850689655172413,23.45
282,24.840344827586204,23.45
283,24.83,23.43
284,24.848,23.45
285,24.887894736842107,23.42777777777778
286,24.93,23.42
287,24.889090909090907,23.35
288,24.88,23.33
289,24.83,23.33
290,24.85,23.34777777777778
291,24.83,23.35
292,24.74947368421053,23.33
293,24.66,23.35
294,24.633333333333333,23.412222222222223
295,24.83,23.49
296,24.693636363636365,23.45
297,24.814999999999994,23.45
298,24.82,23.49
299,24.86,23.49
300,24.86857142857143,23.49
