frame,f1 flow,f2 flow
1,25.37,22.93
2,25.37,22.903
3,25.45,22.9
4,25.44,22.89
5,25.415454545454544,22.9
6,25.41,22.96
7,25.46,22.96
8,25.56,22.99
9,25.59,22.96
10,25.573333333333334,22.96
11,25.57,22.99
12,25.112,23.01
13,25.711111111111112,22.991999999999997
14,25.71,22.99888888888889
15,25.610000000000003,23.0
16,25.492,23.0
17,25.471818181818183,23.04
18,25.47,23.063809523809525
19,25.56,23.087619047619047
20,25.55,23.09
21,25.58,23.09
22,25.51,23.09
23,25.56,23.06
24,25.59,23.06
25,25.635,23.0
26,25.560000000000002,22.991666666666664
27,25.56,22.99
28,25.55,23.0
29,25.52,22.99888888888889
30,25.53,23.0
31,25.44,23.016666666666666
32,25.45,23.02
33,25.44,23.06
34,25.42,23.0
35,25.37,22.96
36,25.383636363636363,22.97736842105263
37,25.4,22.961578947368423
38,25.4,22.96
39,25.46,22.94
40,25.44,22.923333333333336
41,25.42,22.93777777777778
42,25.41,22.94
43,25.52,22.999
44,25.51,23.0
45,25.47,23.04
46,25.54,22.973333333333333
47,25.556363636363635,22.96
48,25.56,22.96
49,25.55076923076923,22.93741935483871
50,25.54051282051282,22.91483870967742
51,25.53025641025641,22.89225806451613
52,25.52,22.863
53,25.54,22.86
54,25.54,22.898999999999997
55,25.54,22.9
56,25.51,22.92
57,25.46,22.956363636363637
58,25.52,22.96
59,25.56,22.96
60,25.51,22.94
61,25.56,22.963809523809523
62,25.5,22.987619047619045
63,25.5,22.945555555555558
64,25.47,22.94
65,25.52,22.926666666666666
66,25.503333333333334,22.96
67,25.5,22.9
68,25.51,22.955
69,25.55,23.01
70,25.56,23.04
71,25.54,23.06
72,25.61,23.06
73,25.596,23.04
74,25.51111111111111,23.04
75,25.52,23.02709677419355
76,25.416,23.014193548387098
77,25.4,23.001290322580644
78,25.47,23.0
79,25.42909090909091,23.025000000000002
80,25.42,23.038888888888888
81,25.43,23.04
82,25.349,22.99
83,25.46,23.036666666666665
84,25.48,23.04
85,25.44,23.06
86,25.46,23.04
87,25.48842105263158,23.00190476190476
88,25.52,22.963809523809523
89,25.57,22.96
90,25.526363636363637,22.987272727272725
91,25.546,22.945555555555558
92,25.55,22.94
93,25.56,22.912
94,25.51,22.8875
95,25.44,22.8625
96,25.45,22.86
97,25.45,22.86
98,25.445999999999998,22.86
99,25.45,22.884545454545457
100,25.46,22.89
101,25.552,22.89
102,25.57,22.96
103,25.610909090909093,23.01909090909091
104,25.62,23.078181818181818
105,25.51,23.09
106,25.54,23.09
107,25.57,23.09
108,25.52,23.09
109,25.470909090909092,23.09
110,25.46,23.09
111,25.44,23.09
112,25.45,23.06948717948718
113,25.47,23.043846153846154
114,26.5,23.01820512820513
115,25.52,22.9925641025641
116,25.55,22.99
117,25.52,22.92
118,25.58,22.99
119,25.53,23.04
120,25.53,23.0
121,25.53,22.99090909090909
122,25.5,22.99
123,25.58,22.99
124,25.5,23.06
125,25.51,23.06
126,25.45,23.06
127,25.54,23.02
128,25.56,23.04
129,25.54,23.04
130,25.515454545454546,23.04111111111111
131,26.51,23.04
132,25.56,22.99
133,25.57,22.99
134,25.57,22.96
135,25.52,22.94
136,25.51,22.99
137,25.51,22.9
138,25.46,22.89
139,25.45,22.881
140,25.342222222222222,22.89
141,25.35,22.91
142,25.46,22.92
143,25.516,22.94
144,25.52,22.99
145,25.51,22.96
146,25.54,22.99
147,25.52,23.0
148,25.51,23.01
149,25.583,23.055454545454545
150,25.54,23.06
151,25.46,23.09
152,25.42,23.09
153,25.458,23.09
154,25.41,23.09
155,25.46,23.09
156,25.46,23.09
157,25.46,23.09
158,25.442,23.05
159,25.46,22.99
160,25.46,23.0
161,25.51,22.96666666666667
162,25.52,22.96
163,25.55,22.96
164,25.52,22.918333333333333
165,25.54,22.91
166,25.52,22.937272727272727
167,25.52,22.94
168,25.54,22.985454545454544
169,25.54,22.99
170,25.56,22.99
171,25.53,23.0
172,25.51,22.99
173,25.51,22.99
174,25.56,23.0
175,25.56,23.029032258064515
176,25.54,23.058064516129033
177,25.52,23.087096774193547
178,25.52,23.078
179,25.52,23.064666666666668
180,25.52,23.051333333333336
181,25.52,23.09
182,25.52,23.09
183,25.52,23.09
184,25.52,23.044545454545453
185,25.52,23.04
186,25.52,23.085454545454546
187,25.52,22.999999999999996
188,25.52,22.99
189,25.52,22.99
190,25.52,22.99
191,25.52,22.99
192,25.52,22.99
193,25.52,22.99
194,25.52,22.99
195,25.52,23.06
196,25.52,23.06
197,25.52,23.087272727272726
198,25.52,23.09
199,25.52,23.09
200,25.52,23.0
201,25.52,22.963636363636365
202,25.52,22.96
203,25.52,22.89
204,25.52,22.898888888888887
205,25.52,22.9
206,25.52,22.86
207,25.52,22.86
208,25.52,22.877142857142857
209,25.52,22.896190476190476
210,25.52,22.9
211,25.52,22.951
212,25.52,22.941000000000003
213,25.52,22.94
214,25.52,22.94
215,25.52,22.94
216,25.52,22.94
217,25.52,22.99
218,25.52,23.07888888888889
219,25.52,22.999999999999996
220,25.52,22.99
221,25.52,22.99
222,25.52,23.07
223,25.52,23.09
224,25.52,22.96
225,25.52,22.9
226,25.52,22.99
227,25.52,22.952105263157893
228,25.52,22.90473684210526
229,25.52,22.9
230,25.52,22.903333333333332
231,25.52,22.9
232,25.52,22.9
233,25.52,22.974999999999998
234,25.52,22.93
235,25.52,22.94
236,25.52,22.986666666666665
237,25.52,22.99
238,25.52,22.94
239,25.52,22.986666666666665
240,25.52,22.968947368421052
241,25.52,22.94263157894737
242,25.52,22.94
243,25.52,22.95935483870968
244,25.52,22.978709677419356
245,25.52,22.998064516129034
246,25.52,23.0
247,25.52,23.06
248,25.52,23.04
249,25.52,23.081666666666667
250,25.52,23.063333333333333
251,25.52,23.06
252,25.52,23.04
253,25.52,22.96727272727273
254,25.52,22.96
255,25.52,22.907777777777778
256,25.52,22.93
257,25.52,22.94
258,25.52,22.94
259,25.52,22.903
260,25.52,22.9
261,25.52,22.98333333333333
262,25.52,23.05222222222222
263,25.52,23.06
264,25.52,23.06
265,25.52,23.06
266,25.52,23.06
267,25.52,23.06
268,25.52,23.09
269,25.52,23.062727272727273
270,25.52,23.006666666666668
271,25.52,23.0
272,25.52,23.033333333333335
273,25.52,23.03
274,25.52,23.05142857142857
275,25.52,23.040714285714287
276,25.52,23.03
277,25.52,23.05857142857143
278,25.52,23.087142857142858
279,25.52,23.05333333333333
280,25.52,23.04222222222222
281,25.52,23.03
282,25.52,23.03
283,25.52,22.99888888888889
284,25.52,23.013333333333335
285,25.52,23.03
286,25.52,22.904444444444444
287,25.52,22.99
288,25.52,22.9435
289,25.52,22.9585
290,25.52,23.075555555555553
291,25.52,23.03
292,25.52,23.025263157894734
293,25.52,23.056842105263154
294,25.52,23.06
295,25.52,23.083333333333332
296,25.52,23.045
297,25.52,23.03
298,25.52,23.03
299,25.52,23.013333333333335
300,25.52,23.03
